,,Glenn Allen Youngkin,Terence Richard McAuliffe,Princess Latece Teira Blanding,Write-Ins,Total Votes Cast,Undervotes
Precinct,103 - Coolwell,395,70,3,1,469,0
Precinct,201 - Court House,857,344,8,0,1209,0
Precinct,202 - Temperance,510,107,1,0,618,0
Precinct,301 - Monroe,481,123,7,0,611,0
Precinct,302 - Elon,1231,275,8,0,1514,0
Precinct,303 - Pleasant View,305,63,2,0,370,0
Precinct,401 - Amelon,1102,327,8,1,1438,0
Precinct,402 - Lonco,326,81,1,0,408,0
Precinct,501 - Madison,1092,430,8,0,1530,0
Precinct,AB - Central Absentee Precinct,370,594,11,3,978,0
Precinct,Provisional,3,1,2,0,6,0
Locality,Appomattox County,5971,1438,26,5,7440,0
Precinct,##ev - Central Absentee Precinct,1490,443,6,1,1940,0
Precinct,##pe - Central Absentee Precinct,2,5,0,0,7,0
Precinct,101 - Vera,347,45,2,1,395,0
Precinct,102 - Pamplin,544,129,0,0,673,0
Precinct,201 - Chap,204,57,0,0,261,0
Precinct,202 - Spout Spring,789,68,4,0,861,0
Precinct,301 - Us 460,498,68,3,1,570,0
Precinct,302 - Stonewall,558,117,1,0,676,0
Precinct,401 - Courthouse,644,137,2,0,783,0
Precinct,501 - Oakville,562,166,2,1,731,0
Precinct,502 - Agee,223,58,0,0,281,0
Precinct,Ab - Central Absentee Precinct,109,145,5,1,260,0
Precinct,Provisional,1,0,1,0,2,0
Locality,Arlington County,21548,73013,554,116,95231,0
Precinct,##ev - Central Absentee Precinct,4901,22713,105,24,27743,0
Precinct,##pe - Central Absentee Precinct,160,800,14,0,974,0
Precinct,1 - Arlington,224,682,8,3,917,0
Precinct,2 - Ashton Heights,305,790,7,0,1102,0
Precinct,3 - Aurora Hills,268,491,0,1,760,0
Precinct,4 - Ballston,318,870,5,1,1194,0
Precinct,5 - Barcroft,292,810,6,1,1109,0
Precinct,6 - Crystal City,245,578,8,1,832,0
Precinct,7 - Cherrydale,329,786,6,3,1124,0
Precinct,8 - Hume,348,951,11,5,1315,0
Precinct,9 - Columbia,313,870,10,3,1196,0
Precinct,10 - Wilson,299,732,9,1,1041,0
Precinct,11 - East Falls Church,267,644,3,0,914,0
Precinct,12 - Fairlington,348,944,11,0,1303,0
Precinct,13 - Glen Carlyn,230,559,6,2,797,0
Precinct,14 - Clarendon,199,547,4,0,750,0
Precinct,15 - Lyon Park,179,456,4,1,640,0
Precinct,16 - Lyon Village,304,728,4,5,1041,0
Precinct,17 - Overlee Knolls,389,911,2,5,1307,0
Precinct,18 - Park Lane,376,879,11,2,1268,0
Precinct,19 - Rosslyn,284,696,8,1,989,0
Precinct,20 - Thrifton,334,562,3,1,900,0
Precinct,21 - Virginia Highlands,178,450,2,0,630,0
Precinct,22 - Abingdon,295,873,9,4,1181,0
Precinct,23 - Westover,300,890,3,4,1197,0
Precinct,24 - Woodlawn,359,1033,8,1,1401,0
Precinct,25 - Arlington Forest,276,750,6,1,1033,0
Precinct,26 - Fillmore,301,893,13,0,1207,0
Precinct,27 - Jefferson,291,845,9,0,1145,0
Precinct,28 - Wakefield,281,888,5,2,1176,0
Precinct,29 - Dominion Hills,307,823,5,0,1135,0
Precinct,30 - Glebe,222,747,2,0,971,0
Precinct,31 - Lexington,329,911,3,3,1246,0
Precinct,32 - Oakridge,179,293,4,0,476,0
Precinct,33 - Rock Spring,430,670,3,0,1103,0
Precinct,34 - Yorktown,347,725,2,1,1075,0
Precinct,35 - Madison,434,552,1,2,989,0
Precinct,36 - Marshall,351,738,14,2,1105,0
Precinct,37 - Nottingham,356,749,3,1,1109,0
Precinct,38 - Arlington View,189,631,17,2,839,0
Precinct,39 - Ashlawn,174,502,2,1,679,0
Precinct,40 - Virginia Square,373,859,8,1,1241,0
Precinct,41 - Navy League,207,529,4,2,742,0
Precinct,42 - Shirlington,189,604,5,0,798,0
Precinct,43 - Campbell,164,578,10,3,755,0
Precinct,44 - Dawson Terrace,170,539,3,3,715,0
Precinct,45 - Buckingham,206,536,5,1,748,0
Precinct,46 - Central,374,852,9,1,1236,0
Precinct,47 - Four Mile Run,169,601,5,0,775,0
Precinct,48 - Ausa,223,446,2,0,671,0
Precinct,49 - Monroe,219,550,0,2,771,0
Precinct,50 - Crystal Plaza,290,643,6,1,940,0
Precinct,51 - Taylor,83,283,1,0,367,0
Precinct,52 - Gunston,184,592,4,0,780,0
Precinct,53 - Met Park,311,870,8,1,1190,0
Precinct,54 - Garfield Park,132,351,2,2,487,0
Precinct,Ab - Central Absentee Precinct,1688,11900,123,15,13726,0
Precinct,Provisional,55,318,3,0,376,0
Locality,Augusta County,26196,7231,170,16,33613,0
Precinct,##ev - Central Absentee Precinct,5941,2297,26,5,8269,0
Precinct,##pe - Central Absentee Precinct,29,33,2,0,64,0
Precinct,101 - Jolivue,454,123,3,0,580,0
Precinct,102 - Stuarts Draft Elementary,563,167,6,1,737,0
Precinct,103 - Verona,794,172,13,0,979,0
Precinct,201 - Crimora,1093,161,7,0,1261,0
Precinct,202 - New Hope,735,116,5,0,856,0
Precinct,203 - Weyers Cave,1009,232,6,2,1249,0
Precinct,301 - Fort Defiance,1187,280,11,0,1478,0
Precinct,302 - North River,463,64,0,0,527,0
Precinct,303 - Mount Solon,726,62,7,0,795,0
Precinct,304 - Churchville Fire Station,537,91,3,0,631,0
Precinct,401 - Buffalo Gap,644,89,7,0,740,0
Precinct,402 - Churchville Elementary,628,87,4,0,719,0
Precinct,403 - Craigsville,535,59,2,0,596,0
Precinct,404 - Deerfield,253,44,2,0,299,0
Precinct,405 - Cedar Green,643,177,2,0,822,0
Precinct,501 - Greenville,1004,157,3,1,1165,0
Precinct,502 - Middlebrook,567,94,3,0,664,0
Precinct,503 - Spottswood,614,93,4,0,711,0
Precinct,504 - White Hill,945,144,5,0,1094,0
Precinct,601 - Sherando,782,137,3,0,922,0
Precinct,602 - Ridgeview,1462,248,7,2,1719,0
Precinct,603 - Lyndhurst,945,238,7,0,1190,0
Precinct,801 - Dooms,777,152,6,0,935,0
Precinct,802 - Fishersville,1130,345,8,2,1485,0
Precinct,803 - Wilson,834,323,7,0,1164,0
Precinct,Ab - Central Absentee Precinct,881,1024,10,3,1918,0
Precinct,Provisional,21,22,1,0,44,0
Locality,Bath County,1539,396,11,1,1947,0
Precinct,##ev - Central Absentee Precinct,175,86,1,0,262,0
Precinct,##pe - Central Absentee Precinct,5,1,1,0,7,0
Precinct,101 - Warm Springs,210,64,1,1,276,0
Precinct,102 - Mountain Grove,52,9,0,0,61,0
Precinct,201 - Hot Springs,169,54,2,0,225,0
Precinct,301 - Fairview,241,24,1,0,266,0
Precinct,302 - Burnsville,59,7,0,0,66,0
Precinct,401 - Millboro,324,42,3,0,369,0
Precinct,501 - Healing Springs,276,72,1,0,349,0
Precinct,Ab - Central Absentee Precinct,28,37,1,0,66,0
Precinct,Provisional,0,0,0,0,0,0
Locality,Bedford County,30912,8001,145,21,39079,0
Precinct,##ev - Central Absentee Precinct (CD 5),3816,1315,16,0,5147,0
Precinct,##ev - Central Absentee Precinct (CD 6),2598,880,5,1,3484,0
Precinct,##pe - Central Absentee Precinct (CD 5),44,32,0,0,76,0
Precinct,##pe - Central Absentee Precinct (CD 6),35,50,0,0,85,0
Precinct,101 - Goodview Elem School (CD 5),1123,178,5,1,1307,0
Precinct,102 - Hardy Vol Fire Co (CD 5),509,106,2,2,619,0
Precinct,103 - Chamblissburg Baptist Church (CD 5),760,140,9,1,910,0
Precinct,104 - Stewartsville Rescue Squad (CD 5),736,126,2,1,865,0
Precinct,201 - Bedford Christian Church (CD 5),338,57,4,0,399,0
Precinct,202 - Staunton River High School (CD 5),602,91,2,0,695,0
Precinct,203 - Moneta Elem School (CD 5),1008,190,3,1,1202,0
Precinct,204 - Quaker Baptist Church (CD 5),365,59,4,0,428,0
Precinct,205 - Saunders Vol Fire Co (CD 5),850,193,4,1,1048,0
Precinct,301 - New London Academy (CD 6),1105,151,4,2,1262,0
Precinct,302 - Bedford Regional Water Auth (CD 5),559,99,2,2,662,0
Precinct,303 - Bethesda United Methodist Church (CD 5),477,68,2,0,547,0
Precinct,304 - Riverside Church (CD 6),463,95,1,0,559,0
Precinct,305 - Huddleston Elem School (CD 5),401,61,1,1,464,0
Precinct,306 - Forest Fire Station #2 (CD 6),658,68,2,0,728,0
Precinct,401 - Forest Elementary School (CD 6),1211,234,5,1,1451,0
Precinct,402 - Thomas Jefferson Elem School (CD 6),601,158,8,0,767,0
Precinct,403 - Knights Of Columbus Bldg (CD 6),1367,302,6,1,1676,0
Precinct,404 - Forest Recreation Center (CD 6),1003,148,2,2,1155,0
Precinct,502 - Big Island Elem School (CD 6),312,58,2,0,372,0
Precinct,503 - Sedalia Center (CD 6),422,65,4,1,492,0
Precinct,504 - Suck Springs Baptist Church (CD 6),567,88,0,0,655,0
Precinct,505 - Boonsboro Elementary School (CD 6),948,333,6,0,1287,0
Precinct,506 - Boonsboro Ruritan Club (CD 6),1550,322,1,0,1873,0
Precinct,601 - Montvale Elem School (CD 6),775,116,2,1,894,0
Precinct,602 - Shady Grove Fire Department (CD 5),851,132,3,0,986,0
Precinct,603 - Thaxton Baptist Church #1 (CD 5),207,34,0,0,241,0
Precinct,604 - Bedford Welcome Center (CD 5),813,193,5,0,1011,0
Precinct,701 - Goode Vol Rescue Squad (CD 5),1197,157,2,2,1358,0
Precinct,702 - Liberty High School (CD 5),474,70,0,0,544,0
Precinct,703 - Thaxton Baptist Church #2 (CD 5),438,61,2,0,501,0
Precinct,704 - Bedford Central Library (CD 5),736,243,5,0,984,0
Precinct,Ab - Central Absentee Precinct (CD 5),376,629,9,0,1014,0
Precinct,Ab - Central Absentee Precinct (CD 6),581,688,15,0,1284,0
Precinct,Provisional (CD 5),11,4,0,0,15,0
Precinct,Provisional (CD 6),25,7,0,0,32,0
Locality,Bland County,2274,364,12,1,2651,0
Precinct,##ev - Central Absentee Precinct,386,78,2,0,466,0
Precinct,##pe - Central Absentee Precinct,0,0,0,0,0,0
Precinct,101 - Bastian,213,30,0,1,244,0
Precinct,102 - Ceres,257,36,1,0,294,0
Precinct,201 - Davis,73,16,0,0,89,0
Precinct,202 - Seddon,428,49,1,0,478,0
Precinct,301 - Hollybrook,265,20,2,0,287,0
Precinct,302 - Mechanicsburg,136,13,0,0,149,0
Precinct,401 - Rocky Gap,466,59,3,0,528,0
Precinct,Ab - Central Absentee Precinct,50,63,3,0,116,0
Precinct,Provisional,0,0,0,0,0,0
Locality,Botetourt County,13066,3990,61,8,17125,0
Precinct,##ev - Central Absentee Precinct,3182,1414,5,2,4603,0
Precinct,##pe - Central Absentee Precinct,23,17,0,0,40,0
Precinct,101 - Daleville,969,281,4,1,1255,0
Precinct,102 - Greenfield,1082,203,5,1,1291,0
Precinct,201 - Blue Ridge,1059,217,5,0,1281,0
Precinct,202 - Rainbow Forest,1031,230,4,0,1265,0
Precinct,301 - Buchanan,936,157,3,0,1096,0
Precinct,302 - Mill Creek,848,169,7,1,1025,0
Precinct,403 - Eagle Rock,642,104,7,0,753,0
Precinct,406 - Fincastle,1083,197,2,0,1282,0
Precinct,501 - Troutville,671,144,1,1,817,0
Precinct,502 - Cloverdale,1102,306,6,0,1414,0
Precinct,Ab - Central Absentee Precinct,435,551,12,2,1000,0
Precinct,Provisional,3,0,0,0,3,0
Locality,Bristol City,3773,1342,30,2,5147,0
Precinct,##ev - Central Absentee Precinct,807,394,6,1,1208,0
Precinct,##pe - Central Absentee Precinct,6,3,0,0,9,0
Precinct,1 - First Ward,497,111,4,0,612,0
Precinct,2 - Second Ward,674,204,2,0,880,0
Precinct,3 - Third Ward,311,130,4,0,445,0
Precinct,4 - Fourth Ward,1279,200,9,0,1488,0
Precinct,Ab - Central Absentee Precinct,196,298,5,1,500,0
Precinct,Provisional,3,2,0,0,5,0
Locality,Brunswick County,2880,3165,34,5,6084,0
Precinct,##ev - Central Absentee Precinct,679,989,9,1,1678,0
Precinct,##pe - Central Absentee Precinct,1,2,0,0,3,0
Precinct,101 - Brodnax,131,108,3,1,243,0
Precinct,102 - Rock Store,263,101,0,0,364,0
Precinct,103 - Tillman,331,150,0,0,481,0
Precinct,201 - Dromgoole,88,57,0,0,145,0
Precinct,202 - Edgerton,96,200,1,0,297,0
Precinct,203 - Fitzhugh,132,163,2,0,297,0
Precinct,301 - Alberta,58,59,0,0,117,0
Precinct,302 - Danieltown,291,152,4,0,447,0
Precinct,303 - Elmore,118,81,2,0,201,0
Precinct,304 - Seymour,117,89,3,0,209,0
Precinct,401 - Sturgeon,285,263,1,0,549,0
Precinct,402 - King's Store,75,144,0,0,219,0
Precinct,501 - Totaro,120,296,4,2,422,0
Precinct,Ab - Central Absentee Precinct,93,309,5,1,408,0
Precinct,Provisional,2,2,0,0,4,0
Locality,Buchanan County,5083,903,8,6,6000,0
Precinct,##ev - Central Absentee Precinct,626,170,0,1,797,0
Precinct,##pe - Central Absentee Precinct,4,0,0,0,4,0
Precinct,102 - Blackey,235,11,1,0,247,0
Precinct,103 - Hurley,429,39,0,0,468,0
Precinct,201 - Grassy,55,17,0,0,72,0
Precinct,202 - Bull,299,32,0,0,331,0
Precinct,203 - Rocklick,281,29,1,3,314,0
Precinct,301 - Slate,317,51,0,0,368,0
Precinct,302 - North Grundy,266,38,0,0,304,0
Precinct,403 - South Grundy,425,53,1,0,479,0
Precinct,404 - Oakwood,46,11,0,0,57,0
Precinct,501 - Prater,287,57,0,0,344,0
Precinct,502 - Fox,71,21,0,0,92,0
Precinct,503 - Vansant,300,45,0,1,346,0
Precinct,601 - Council,207,27,0,0,234,0
Precinct,602 - Garden,295,46,2,0,343,0
Precinct,603 - Hurricane,170,49,1,0,220,0
Precinct,701 - Whitewood,343,57,0,0,400,0
Precinct,702 - Contrary,288,32,0,1,321,0
Precinct,Ab - Central Absentee Precinct,138,118,2,0,258,0
Precinct,Provisional,1,0,0,0,1,0
Locality,Buckingham County,3894,2222,35,2,6153,0
Precinct,##ev - Central Absentee Precinct,903,722,9,1,1635,0
Precinct,##pe - Central Absentee Precinct,4,4,0,0,8,0
Precinct,101 - New Canton,403,206,4,0,613,0
Precinct,102 - Georgia Creek,137,53,0,0,190,0
Precinct,201 - White Hall,213,126,2,1,342,0
Precinct,301 - Curdsville,315,133,2,0,450,0
Precinct,302 - New Store,293,56,1,0,350,0
Precinct,401 - Maysville,464,156,2,0,622,0
Precinct,501 - Wrights,212,45,1,0,258,0
Precinct,502 - Glenmore,267,130,1,0,398,0
Precinct,601 - Slate River,308,212,2,0,522,0
Precinct,701 - Gold Hill,255,107,4,0,366,0
Precinct,Ab - Central Absentee Precinct,118,269,7,0,394,0
Precinct,Provisional,2,3,0,0,5,0
Locality,Buena Vista City,1459,481,22,1,1963,0
Precinct,##ev - Central Absentee Precinct,388,182,1,0,571,0
Precinct,##pe - Central Absentee Precinct,1,5,0,0,6,0
Precinct,1 - First Ward,590,112,9,1,712,0
Precinct,2 - Second Ward,425,93,7,0,525,0
Precinct,AB - Central Absentee Precinct,54,89,5,0,148,0
Precinct,Provisional,1,0,0,0,1,0
Locality,Campbell County,18213,4930,77,15,23235,0
Precinct,##ev - Central Absentee Precinct,3699,1474,10,5,5188,0
Precinct,##pe - Central Absentee Precinct,7,4,0,0,11,0
Precinct,101 - Brookville,1185,234,6,1,1426,0
Precinct,102 - New London,1248,198,5,0,1451,0
Precinct,201 - Walker,853,203,4,0,1060,0
Precinct,202 - Bedford Springs,1371,215,6,1,1593,0
Precinct,301 - Evington,519,106,6,0,631,0
Precinct,302 - Otter River,440,72,0,0,512,0
Precinct,303 - Altavista,986,329,10,3,1328,0
Precinct,401 - Three Forks,870,101,0,1,972,0
Precinct,402 - Court House,1254,204,4,1,1463,0
Precinct,501 - Spring Hill,1140,219,3,1,1363,0
Precinct,502 - Yellow Branch,702,179,2,0,883,0
Precinct,601 - Kings,723,177,0,0,900,0
Precinct,602 - Concord,1096,212,2,2,1312,0
Precinct,701 - Brookneal,581,140,2,0,723,0
Precinct,702 - Gladys,743,191,1,0,935,0
Precinct,703 - Morris Church,442,84,2,0,528,0
Precinct,AB - Central Absentee Precinct,354,588,14,0,956,0
Precinct,Provisional,0,0,0,0,0,0
Locality,Caroline County,6917,5045,91,8,12061,0
Precinct,##ev - Central Absentee Precinct,1112,1278,15,2,2407,0
Precinct,##pe - Central Absentee Precinct,8,16,0,0,24,0
Precinct,101 - Bowling Green,612,196,2,0,810,0
Precinct,102 - Sparta,520,173,2,1,696,0
Precinct,201 - North Madison,395,297,2,1,695,0
Precinct,202 - South Madison,603,312,12,0,927,0
Precinct,301 - Port Royal,273,152,3,0,428,0
Precinct,302 - Woodford,722,319,5,0,1046,0
Precinct,401 - Dawn,537,481,10,1,1029,0
Precinct,402 - Carmel Church,200,202,2,0,404,0
Precinct,501 - West Mattaponi,347,316,12,0,675,0
Precinct,502 - Milford,397,173,3,0,573,0
Precinct,601 - Chilesburg,568,321,7,1,897,0
Precinct,602 - Lake,411,215,6,0,632,0
Precinct,Ab - Central Absentee Precinct,205,580,10,2,797,0
Precinct,Provisional,7,14,0,0,21,0
Locality,Carroll County,9868,1910,43,4,11825,0
Precinct,##ev - Central Absentee Precinct,1325,425,5,2,1757,0
Precinct,##pe - Central Absentee Precinct,8,8,0,0,16,0
Precinct,101 - Mt Bethel,338,52,2,0,392,0
Precinct,102 - St Paul,510,57,1,0,568,0
Precinct,103 - Lambsburg,300,35,0,0,335,0
Precinct,105 - Fancy Gap,406,76,0,0,482,0
Precinct,201 - Hillsville B,761,143,1,0,905,0
Precinct,202 - Laurel Fork,369,64,3,0,436,0
Precinct,203 - Gladesboro,477,73,2,0,552,0
Precinct,301 - Hillsville C,949,124,7,0,1080,0
Precinct,302 - Sylvatus,423,52,0,0,475,0
Precinct,303 - Dugspur,220,33,1,0,254,0
Precinct,401 - Oakland,808,109,3,1,921,0
Precinct,402 - Woodlawn D,707,72,5,1,785,0
Precinct,406 - Woodlawn F,124,26,1,0,151,0
Precinct,501 - Vaughan,299,32,0,0,331,0
Precinct,502 - Gladeville,733,77,3,0,813,0
Precinct,503 - Woodlawn E,342,46,2,0,390,0
Precinct,504 - Laurel,399,55,0,0,454,0
Precinct,Ab - Central Absentee Precinct,362,348,7,0,717,0
Precinct,Provisional,8,3,0,0,11,0
Locality,Charles City County,1550,1822,15,0,3387,0
Precinct,##ev - Central Absentee Precinct,428,705,2,0,1135,0
Precinct,##pe - Central Absentee Precinct,4,11,0,0,15,0
Precinct,101 - Precinct 1-1,489,295,6,0,790,0
Precinct,201 - Precinct 2-1,269,283,3,0,555,0
Precinct,301 - Precinct 3-1,312,278,2,0,592,0
Precinct,Ab - Central Absentee Precinct,47,244,2,0,293,0
Precinct,Provisional,1,6,0,0,7,0
Locality,Charlotte County,3354,1396,21,3,4774,0
Precinct,##ev - Central Absentee Precinct,665,419,3,0,1087,0
Precinct,##pe - Central Absentee Precinct,3,0,0,0,3,0
Precinct,101 - County Seat,365,117,6,0,488,0
Precinct,201 - Red Oak Wylliesburg,437,147,1,1,586,0
Precinct,302 - Drakes Branch,324,87,2,1,414,0
Precinct,401 - Keysville,444,126,3,0,573,0
Precinct,501 - Cullen/Red House,310,111,1,0,422,0
Precinct,602 - Phenix,497,102,0,0,599,0
Precinct,702 - Bacon/Saxe,245,113,3,1,362,0
Precinct,Ab - Central Absentee Precinct,64,171,2,0,237,0
Precinct,Provisional,0,3,0,0,3,0
Locality,Charlottesville City,2774,14378,173,22,17347,0
Precinct,##ev - Central Absentee Precinct,492,4010,27,2,4531,0
Precinct,##pe - Central Absentee Precinct,20,138,5,1,164,0
Precinct,101 - Key Recreation,255,1042,16,3,1316,0
Precinct,102 - Clark,260,1210,17,4,1491,0
Precinct,201 - Carver,152,950,13,0,1115,0
Precinct,202 - Walker,437,1289,11,2,1739,0
Precinct,301 - Benjamin Tonsler,153,924,17,1,1095,0
Precinct,302 - Johnson,371,1188,23,3,1585,0
Precinct,303 - Buford,98,496,8,2,604,0
Precinct,401 - Venable,90,545,1,0,636,0
Precinct,402 - Alumni Hall,258,678,6,1,943,0
Precinct,Ab - Central Absentee Precinct,180,1859,28,3,2070,0
Precinct,Provisional,8,49,1,0,58,0
Locality,Chesapeake City,48079,42907,654,59,91699,0
Precinct,##ev - Central Absentee Precinct (CD 3),4791,7742,70,5,12608,0
Precinct,##ev - Central Absentee Precinct (CD 4),10563,8270,64,5,18902,0
Precinct,##pe - Central Absentee Precinct (CD 3),66,229,18,0,313,0
Precinct,##pe - Central Absentee Precinct (CD 4),155,247,10,4,416,0
Precinct,1 - Great Bridge (CD 4),623,240,6,2,871,0
Precinct,2 - Bethel (CD 4),989,137,3,0,1129,0
Precinct,3 - Camelot (CD 3),84,560,15,0,659,0
