,,Jason Stuart Redding Miyares,Mark Rankin Herring,Write-Ins,Total Votes Cast,Undervotes
Locality,Appomattox County,5892,1510,6,7408,0
Precinct,##ev - Central Absentee Precinct,1469,459,1,1929,0
Precinct,##pe - Central Absentee Precinct,2,5,0,7,0
Precinct,101 - Vera,347,45,2,394,0
Precinct,102 - Pamplin,536,138,0,674,0
Precinct,201 - Chap,197,61,0,258,0
Precinct,202 - Spout Spring,771,88,0,859,0
Precinct,301 - Us 460,496,71,0,567,0
Precinct,302 - Stonewall,556,119,0,675,0
Precinct,401 - Courthouse,639,140,1,780,0
Precinct,501 - Oakville,557,167,1,725,0
Precinct,502 - Agee,218,61,1,280,0
Precinct,Ab - Central Absentee Precinct,104,155,0,259,0
Precinct,Provisional,0,1,0,1,0
Locality,Arlington County,21223,73149,114,94486,0
Precinct,##ev - Central Absentee Precinct,4902,22654,30,27586,0
Precinct,##pe - Central Absentee Precinct,150,807,0,957,0
Precinct,1 - Arlington,211,692,2,905,0
Precinct,2 - Ashton Heights,283,803,2,1088,0
Precinct,3 - Aurora Hills,266,486,2,754,0
Precinct,4 - Ballston,316,864,2,1182,0
Precinct,5 - Barcroft,290,810,2,1102,0
Precinct,6 - Crystal City,240,586,1,827,0
Precinct,7 - Cherrydale,330,780,0,1110,0
Precinct,8 - Hume,347,952,3,1302,0
Precinct,9 - Columbia,301,881,2,1184,0
Precinct,10 - Wilson,274,751,1,1026,0
Precinct,11 - East Falls Church,261,643,0,904,0
Precinct,12 - Fairlington,354,940,1,1295,0
Precinct,13 - Glen Carlyn,237,552,0,789,0
Precinct,14 - Clarendon,191,557,0,748,0
Precinct,15 - Lyon Park,167,465,1,633,0
Precinct,16 - Lyon Village,288,741,4,1033,0
Precinct,17 - Overlee Knolls,374,925,3,1302,0
Precinct,18 - Park Lane,368,880,1,1249,0
Precinct,19 - Rosslyn,278,702,1,981,0
Precinct,20 - Thrifton,322,568,2,892,0
Precinct,21 - Virginia Highlands,177,443,1,621,0
Precinct,22 - Abingdon,291,881,1,1173,0
Precinct,23 - Westover,291,897,1,1189,0
Precinct,24 - Woodlawn,349,1042,1,1392,0
Precinct,25 - Arlington Forest,275,748,1,1024,0
Precinct,26 - Fillmore,284,911,1,1196,0
Precinct,27 - Jefferson,284,846,2,1132,0
Precinct,28 - Wakefield,273,890,1,1164,0
Precinct,29 - Dominion Hills,299,821,2,1122,0
Precinct,30 - Glebe,211,753,1,965,0
Precinct,31 - Lexington,322,904,1,1227,0
Precinct,32 - Oakridge,183,293,0,476,0
Precinct,33 - Rock Spring,423,677,1,1101,0
Precinct,34 - Yorktown,335,726,0,1061,0
Precinct,35 - Madison,426,549,3,978,0
Precinct,36 - Marshall,348,746,1,1095,0
Precinct,37 - Nottingham,347,748,2,1097,0
Precinct,38 - Arlington View,183,640,4,827,0
Precinct,39 - Ashlawn,177,499,0,676,0
Precinct,40 - Virginia Square,372,853,1,1226,0
Precinct,41 - Navy League,203,530,2,735,0
Precinct,42 - Shirlington,180,615,0,795,0
Precinct,43 - Campbell,155,587,4,746,0
Precinct,44 - Dawson Terrace,174,535,1,710,0
Precinct,45 - Buckingham,200,538,0,738,0
Precinct,46 - Central,365,856,1,1222,0
Precinct,47 - Four Mile Run,170,599,1,770,0
Precinct,48 - Ausa,203,454,1,658,0
Precinct,49 - Monroe,218,543,1,762,0
Precinct,50 - Crystal Plaza,282,650,0,932,0
Precinct,51 - Taylor,80,283,0,363,0
Precinct,52 - Gunston,178,595,1,774,0
Precinct,53 - Met Park,316,863,2,1181,0
Precinct,54 - Garfield Park,133,350,1,484,0
Precinct,Ab - Central Absentee Precinct,1706,11934,14,13654,0
Precinct,Provisional,60,311,0,371,0
Locality,Augusta County,25840,7632,19,33491,0
Precinct,##ev - Central Absentee Precinct,5913,2339,2,8254,0
Precinct,##pe - Central Absentee Precinct,29,35,0,64,0
Precinct,101 - Jolivue,450,126,0,576,0
Precinct,102 - Stuarts Draft Elementary,550,183,1,734,0
Precinct,103 - Verona,789,185,2,976,0
Precinct,201 - Crimora,1075,184,0,1259,0
Precinct,202 - New Hope,720,132,0,852,0
Precinct,203 - Weyers Cave,983,256,1,1240,0
Precinct,301 - Fort Defiance,1170,299,1,1470,0
Precinct,302 - North River,458,67,0,525,0
Precinct,303 - Mount Solon,714,76,0,790,0
Precinct,304 - Churchville Fire Station,526,101,0,627,0
Precinct,401 - Buffalo Gap,629,108,0,737,0
Precinct,402 - Churchville Elementary,613,102,0,715,0
Precinct,403 - Craigsville,527,65,0,592,0
Precinct,404 - Deerfield,249,47,0,296,0
Precinct,405 - Cedar Green,629,184,1,814,0
Precinct,501 - Greenville,993,166,1,1160,0
Precinct,502 - Middlebrook,555,104,1,660,0
Precinct,503 - Spottswood,609,97,1,707,0
Precinct,504 - White Hill,927,162,0,1089,0
Precinct,601 - Sherando,767,152,0,919,0
Precinct,602 - Ridgeview,1446,268,1,1715,0
Precinct,603 - Lyndhurst,932,258,0,1190,0
Precinct,801 - Dooms,768,162,2,932,0
Precinct,802 - Fishersville,1111,366,1,1478,0
Precinct,803 - Wilson,835,323,3,1161,0
Precinct,Ab - Central Absentee Precinct,851,1063,1,1915,0
Precinct,Provisional,22,22,0,44,0
Locality,Bath County,1505,432,1,1938,0
Precinct,##ev - Central Absentee Precinct,170,91,0,261,0
Precinct,##pe - Central Absentee Precinct,5,2,0,7,0
Precinct,101 - Warm Springs,205,70,0,275,0
Precinct,102 - Mountain Grove,50,10,1,61,0
Precinct,201 - Hot Springs,163,59,0,222,0
Precinct,301 - Fairview,241,25,0,266,0
Precinct,302 - Burnsville,58,8,0,66,0
Precinct,401 - Millboro,317,49,0,366,0
Precinct,501 - Healing Springs,269,79,0,348,0
Precinct,Ab - Central Absentee Precinct,27,39,0,66,0
Precinct,Provisional,0,0,0,0,0
Locality,Bedford County,30692,8199,28,38919,0
Precinct,##ev - Central Absentee Precinct (CD 5),3792,1331,1,5124,0
Precinct,##ev - Central Absentee Precinct (CD 6),2584,889,2,3475,0
Precinct,##pe - Central Absentee Precinct (CD 5),42,35,0,77,0
Precinct,##pe - Central Absentee Precinct (CD 6),37,47,0,84,0
Precinct,101 - Goodview Elem School (CD 5),1113,192,0,1305,0
Precinct,102 - Hardy Vol Fire Co (CD 5),506,110,0,616,0
Precinct,103 - Chamblissburg Baptist Church (CD 5),755,153,1,909,0
Precinct,104 - Stewartsville Rescue Squad (CD 5),727,132,0,859,0
Precinct,201 - Bedford Christian Church (CD 5),334,63,0,397,0
Precinct,202 - Staunton River High School (CD 5),589,100,1,690,0
Precinct,203 - Moneta Elem School (CD 5),998,194,2,1194,0
Precinct,204 - Quaker Baptist Church (CD 5),362,65,1,428,0
Precinct,205 - Saunders Vol Fire Co (CD 5),848,192,0,1040,0
Precinct,301 - New London Academy (CD 6),1099,159,0,1258,0
Precinct,302 - Bedford Regional Water Auth (CD 5),559,100,1,660,0
Precinct,303 - Bethesda United Methodist Church (CD 5),477,68,0,545,0
Precinct,304 - Riverside Church (CD 6),461,96,1,558,0
Precinct,305 - Huddleston Elem School (CD 5),399,63,0,462,0
Precinct,306 - Forest Fire Station #2 (CD 6),651,73,0,724,0
Precinct,401 - Forest Elementary School (CD 6),1215,227,1,1443,0
Precinct,402 - Thomas Jefferson Elem School (CD 6),590,166,3,759,0
Precinct,403 - Knights Of Columbus Bldg (CD 6),1356,312,4,1672,0
Precinct,404 - Forest Recreation Center (CD 6),1005,146,1,1152,0
Precinct,502 - Big Island Elem School (CD 6),315,55,0,370,0
Precinct,503 - Sedalia Center (CD 6),417,72,0,489,0
Precinct,504 - Suck Springs Baptist Church (CD 6),562,89,0,651,0
Precinct,505 - Boonsboro Elementary School (CD 6),942,339,0,1281,0
Precinct,506 - Boonsboro Ruritan Club (CD 6),1530,339,1,1870,0
Precinct,601 - Montvale Elem School (CD 6),770,121,0,891,0
Precinct,602 - Shady Grove Fire Department (CD 5),849,133,0,982,0
Precinct,603 - Thaxton Baptist Church #1 (CD 5),203,35,0,238,0
Precinct,604 - Bedford Welcome Center (CD 5),805,204,0,1009,0
Precinct,701 - Goode Vol Rescue Squad (CD 5),1186,167,2,1355,0
Precinct,702 - Liberty High School (CD 5),470,73,0,543,0
Precinct,703 - Thaxton Baptist Church #2 (CD 5),434,66,1,501,0
Precinct,704 - Bedford Central Library (CD 5),725,249,0,974,0
Precinct,Ab - Central Absentee Precinct (CD 5),365,642,3,1010,0
Precinct,Ab - Central Absentee Precinct (CD 6),586,689,2,1277,0
Precinct,Provisional (CD 5),10,5,0,15,0
Precinct,Provisional (CD 6),24,8,0,32,0
Locality,Bland County,2252,378,3,2633,0
Precinct,##ev - Central Absentee Precinct,381,81,0,462,0
Precinct,##pe - Central Absentee Precinct,0,0,0,0,0
Precinct,101 - Bastian,210,32,1,243,0
Precinct,102 - Ceres,258,34,0,292,0
Precinct,201 - Davis,74,15,0,89,0
Precinct,202 - Seddon,424,52,0,476,0
Precinct,301 - Hollybrook,264,21,1,286,0
Precinct,302 - Mechanicsburg,135,12,0,147,0
Precinct,401 - Rocky Gap,455,68,0,523,0
Precinct,Ab - Central Absentee Precinct,51,63,1,115,0
Precinct,Provisional,0,0,0,0,0
Locality,Botetourt County,12967,4092,16,17075,0
Precinct,##ev - Central Absentee Precinct,3180,1409,3,4592,0
Precinct,##pe - Central Absentee Precinct,23,16,1,40,0
Precinct,101 - Daleville,953,295,1,1249,0
Precinct,102 - Greenfield,1075,208,1,1284,0
Precinct,201 - Blue Ridge,1050,227,1,1278,0
Precinct,202 - Rainbow Forest,1025,236,1,1262,0
Precinct,301 - Buchanan,924,163,2,1089,0
Precinct,302 - Mill Creek,839,181,1,1021,0
Precinct,403 - Eagle Rock,636,114,0,750,0
Precinct,406 - Fincastle,1068,210,2,1280,0
Precinct,501 - Troutville,659,156,0,815,0
Precinct,502 - Cloverdale,1102,311,1,1414,0
Precinct,Ab - Central Absentee Precinct,430,566,2,998,0
Precinct,Provisional,3,0,0,3,0
Locality,Bristol City,3739,1338,2,5079,0
Precinct,##ev - Central Absentee Precinct,802,394,0,1196,0
Precinct,##pe - Central Absentee Precinct,7,2,0,9,0
Precinct,1 - First Ward,488,117,0,605,0
Precinct,2 - Second Ward,670,193,0,863,0
Precinct,3 - Third Ward,311,130,1,442,0
Precinct,4 - Fourth Ward,1266,205,0,1471,0
Precinct,Ab - Central Absentee Precinct,192,295,1,488,0
Precinct,Provisional,3,2,0,5,0
Locality,Brunswick County,2847,3216,4,6067,0
Precinct,##ev - Central Absentee Precinct,677,996,1,1674,0
Precinct,##pe - Central Absentee Precinct,1,2,0,3,0
Precinct,101 - Brodnax,132,110,1,243,0
Precinct,102 - Rock Store,259,105,0,364,0
Precinct,103 - Tillman,327,154,0,481,0
Precinct,201 - Dromgoole,85,60,0,145,0
Precinct,202 - Edgerton,95,201,0,296,0
Precinct,203 - Fitzhugh,128,167,0,295,0
Precinct,301 - Alberta,58,60,0,118,0
Precinct,302 - Danieltown,288,156,0,444,0
Precinct,303 - Elmore,116,83,1,200,0
Precinct,304 - Seymour,118,91,0,209,0
Precinct,401 - Sturgeon,280,267,0,547,0
Precinct,402 - King's Store,73,145,0,218,0
Precinct,501 - Totaro,114,306,0,420,0
Precinct,Ab - Central Absentee Precinct,94,311,1,406,0
Precinct,Provisional,2,2,0,4,0
Locality,Buchanan County,4954,960,7,5921,0
Precinct,##ev - Central Absentee Precinct,603,177,1,781,0
Precinct,##pe - Central Absentee Precinct,3,1,0,4,0
Precinct,102 - Blackey,229,12,0,241,0
Precinct,103 - Hurley,413,46,0,459,0
Precinct,201 - Grassy,53,17,0,70,0
Precinct,202 - Bull,296,30,0,326,0
Precinct,203 - Rocklick,284,29,1,314,0
Precinct,301 - Slate,305,57,0,362,0
Precinct,302 - North Grundy,265,34,1,300,0
Precinct,403 - South Grundy,417,61,0,478,0
Precinct,404 - Oakwood,45,12,0,57,0
Precinct,501 - Prater,280,59,0,339,0
Precinct,502 - Fox,70,21,0,91,0
Precinct,503 - Vansant,295,51,0,346,0
Precinct,601 - Council,199,35,0,234,0
Precinct,602 - Garden,290,48,1,339,0
Precinct,603 - Hurricane,165,50,0,215,0
Precinct,701 - Whitewood,336,57,0,393,0
Precinct,702 - Contrary,276,37,3,316,0
Precinct,Ab - Central Absentee Precinct,129,126,0,255,0
Precinct,Provisional,1,0,0,1,0
Locality,Buckingham County,3859,2258,5,6122,0
Precinct,##ev - Central Absentee Precinct,899,728,3,1630,0
Precinct,##pe - Central Absentee Precinct,5,3,0,8,0
Precinct,101 - New Canton,400,213,0,613,0
Precinct,102 - Georgia Creek,135,54,0,189,0
Precinct,201 - White Hall,215,126,0,341,0
Precinct,301 - Curdsville,308,141,0,449,0
Precinct,302 - New Store,289,59,1,349,0
Precinct,401 - Maysville,455,166,0,621,0
Precinct,501 - Wrights,215,41,0,256,0
Precinct,502 - Glenmore,261,133,0,394,0
Precinct,601 - Slate River,306,207,0,513,0
Precinct,701 - Gold Hill,249,113,1,363,0
Precinct,Ab - Central Absentee Precinct,121,270,0,391,0
Precinct,Provisional,1,4,0,5,0
Locality,Buena Vista City,1416,520,2,1938,0
Precinct,##ev - Central Absentee Precinct,381,188,0,569,0
Precinct,##pe - Central Absentee Precinct,1,5,0,6,0
Precinct,1 - First Ward,572,128,1,701,0
Precinct,2 - Second Ward,411,107,1,519,0
Precinct,AB - Central Absentee Precinct,51,91,0,142,0
Precinct,Provisional,0,1,0,1,0
Locality,Campbell County,18059,5084,13,23156,0
Precinct,##ev - Central Absentee Precinct,3688,1478,1,5167,0
Precinct,##pe - Central Absentee Precinct,7,4,0,11,0
Precinct,101 - Brookville,1173,249,1,1423,0
Precinct,102 - New London,1237,212,1,1450,0
Precinct,201 - Walker,840,212,3,1055,0
Precinct,202 - Bedford Springs,1359,227,1,1587,0
Precinct,301 - Evington,514,115,0,629,0
Precinct,302 - Otter River,432,78,1,511,0
Precinct,303 - Altavista,978,345,3,1326,0
Precinct,401 - Three Forks,857,113,0,970,0
Precinct,402 - Court House,1244,214,0,1458,0
Precinct,501 - Spring Hill,1125,231,1,1357,0
Precinct,502 - Yellow Branch,698,186,0,884,0
Precinct,601 - Kings,719,180,0,899,0
Precinct,602 - Concord,1083,224,0,1307,0
Precinct,701 - Brookneal,577,144,0,721,0
Precinct,702 - Gladys,742,188,0,930,0
Precinct,703 - Morris Church,440,85,1,526,0
Precinct,AB - Central Absentee Precinct,346,599,0,945,0
Precinct,Provisional,0,0,0,0,0
Locality,Caroline County,6883,5129,7,12019,0
Precinct,##ev - Central Absentee Precinct,1114,1287,0,2401,0
Precinct,##pe - Central Absentee Precinct,8,16,0,24,0
Precinct,101 - Bowling Green,605,200,1,806,0
Precinct,102 - Sparta,510,185,1,696,0
Precinct,201 - North Madison,396,297,0,693,0
Precinct,202 - South Madison,598,325,0,923,0
Precinct,301 - Port Royal,275,151,0,426,0
Precinct,302 - Woodford,716,328,0,1044,0
Precinct,401 - Dawn,540,484,1,1025,0
Precinct,402 - Carmel Church,200,200,1,401,0
Precinct,501 - West Mattaponi,350,323,0,673,0
Precinct,502 - Milford,397,172,0,569,0
Precinct,601 - Chilesburg,556,341,1,898,0
Precinct,602 - Lake,412,217,0,629,0
Precinct,Ab - Central Absentee Precinct,199,589,2,790,0
Precinct,Provisional,7,14,0,21,0
Locality,Carroll County,9786,1979,7,11772,0
Precinct,##ev - Central Absentee Precinct,1321,424,0,1745,0
Precinct,##pe - Central Absentee Precinct,8,8,0,16,0
Precinct,101 - Mt Bethel,337,51,0,388,0
Precinct,102 - St Paul,503,60,0,563,0
Precinct,103 - Lambsburg,296,37,0,333,0
Precinct,105 - Fancy Gap,415,67,0,482,0
Precinct,201 - Hillsville B,753,147,1,901,0
Precinct,202 - Laurel Fork,370,64,0,434,0
Precinct,203 - Gladesboro,474,77,0,551,0
Precinct,301 - Hillsville C,933,141,0,1074,0
Precinct,302 - Sylvatus,418,54,1,473,0
Precinct,303 - Dugspur,215,36,0,251,0
Precinct,401 - Oakland,797,116,1,914,0
Precinct,402 - Woodlawn D,701,85,1,787,0
Precinct,406 - Woodlawn F,122,27,0,149,0
Precinct,501 - Vaughan,294,37,0,331,0
Precinct,502 - Gladeville,727,84,0,811,0
Precinct,503 - Woodlawn E,335,53,2,390,0
Precinct,504 - Laurel,394,58,0,452,0
Precinct,Ab - Central Absentee Precinct,365,350,1,716,0
Precinct,Provisional,8,3,0,11,0
Locality,Charles City County,1549,1823,1,3373,0
Precinct,##ev - Central Absentee Precinct,435,694,0,1129,0
Precinct,##pe - Central Absentee Precinct,4,11,0,15,0
Precinct,101 - Precinct 1-1,487,300,0,787,0
Precinct,201 - Precinct 2-1,265,288,0,553,0
Precinct,301 - Precinct 3-1,311,277,1,589,0
Precinct,Ab - Central Absentee Precinct,46,247,0,293,0
Precinct,Provisional,1,6,0,7,0
Locality,Charlotte County,3290,1457,3,4750,0
Precinct,##ev - Central Absentee Precinct,653,431,0,1084,0
Precinct,##pe - Central Absentee Precinct,2,1,0,3,0
Precinct,101 - County Seat,350,132,0,482,0
Precinct,201 - Red Oak Wylliesburg,432,151,0,583,0
Precinct,302 - Drakes Branch,320,90,1,411,0
Precinct,401 - Keysville,436,135,0,571,0
Precinct,501 - Cullen/Red House,306,116,0,422,0
Precinct,602 - Phenix,488,107,0,595,0
Precinct,702 - Bacon/Saxe,244,114,2,360,0
Precinct,Ab - Central Absentee Precinct,59,177,0,236,0
Precinct,Provisional,0,3,0,3,0
Locality,Charlottesville City,2673,14471,15,17159,0
Precinct,##ev - Central Absentee Precinct,477,4017,1,4495,0
Precinct,##pe - Central Absentee Precinct,18,142,1,161,0
Precinct,101 - Key Recreation,263,1034,0,1297,0
Precinct,102 - Clark,243,1227,2,1472,0
Precinct,201 - Carver,136,964,1,1101,0
Precinct,202 - Walker,432,1284,2,1718,0
Precinct,301 - Benjamin Tonsler,152,930,2,1084,0
Precinct,302 - Johnson,350,1215,0,1565,0
Precinct,303 - Buford,98,493,1,592,0
Precinct,401 - Venable,83,546,1,630,0
Precinct,402 - Alumni Hall,233,698,0,931,0
Precinct,Ab - Central Absentee Precinct,179,1872,4,2055,0
Precinct,Provisional,9,49,0,58,0
Locality,Chesapeake City,47836,43598,78,91512,0
Precinct,##ev - Central Absentee Precinct (CD 3),4774,7754,15,12543,0
Precinct,##ev - Central Absentee Precinct (CD 4),10525,8300,9,18834,0
Precinct,##pe - Central Absentee Precinct (CD 3),71,241,1,313,0
Precinct,##pe - Central Absentee Precinct (CD 4),153,253,3,409,0
Precinct,1 - Great Bridge (CD 4),611,255,0,866,0
Precinct,2 - Bethel (CD 4),980,141,0,1121,0
Precinct,3 - Camelot (CD 3),78,580,2,660,0
Precinct,4 - Churchland (CD 3),576,235,0,811,0
Precinct,5 - Crestwood (CD 3),134,687,0,821,0
Precinct,6 - Deep Creek (CD 4),511,366,1,878,0
Precinct,7 - Greenbrier (CD 4),491,261,0,752,0
Precinct,8 - South Norfolk Recreation (CD 3),565,505,0,1070,0
Precinct,9 - Bells Mill (CD 4),1027,309,0,1336,0
Precinct,10 - Oscar Smith (CD 3),271,221,0,492,0
Precinct,11 - Geneva Park (CD 3),475,264,3,742,0
Precinct,12 - Georgetown (CD 3),113,455,0,568,0
Precinct,13 - Gilmerton (CD 3),521,395,0,916,0
Precinct,14 - Grassfield (CD 4),586,265,1,852,0
Precinct,15 - Greenbrier Middle School (CD 3),394,449,1,844,0
Precinct,16 - Hickory Grove (CD 4),958,262,0,1220,0
Precinct,17 - Indian Creek (CD 4),793,166,0,959,0
Precinct,18 - Indian River (CD 3),260,367,0,627,0
Precinct,19 - Jolliff (CD 4),494,188,1,683,0
Precinct,20 - E W Chittum (CD 4),663,389,0,1052,0
Precinct,21 - Fellowship (CD 3),619,381,0,1000,0
Precinct,22 - Norfolk Highlands (CD 3),380,211,2,593,0
Precinct,23 - Oak Grove (CD 4),467,460,0,927,0
Precinct,24 - Oaklette (CD 3),362,344,0,706,0
Precinct,25 - St Julians (CD 3),308,424,0,732,0
Precinct,26 - Johnson Park (CD 3),185,276,2,463,0
Precinct,27 - Silverwood (CD 3),556,333,1,890,0
Precinct,28 - Sunray I (CD 4),157,66,0,223,0
Precinct,29 - Tanglewood (CD 3),531,201,1,733,0
Precinct,30 - South Norfolk (CD 3),26,347,2,375,0
Precinct,31 - Carver School (CD 3),160,566,0,726,0
Precinct,32 - Providence (CD 3),64,705,4,773,0
Precinct,33 - Westover (CD 3),398,197,0,595,0
Precinct,34 - Hickory Middle School (CD 4),965,239,1,1205,0
Precinct,35 - Taylor Road (CD 3),183,315,0,498,0
Precinct,36 - Great Bridge Baptist Church (CD 4),700,243,1,944,0
Precinct,37 - Bridgetown (CD 4),699,271,0,970,0
