,,Winsome Earle Sears,Hala Sophia Ayala,Write-Ins,Total Votes Cast,Undervotes
Precinct,103 - Lyles Crouch School,429,784,3,1216,0
Precinct,104 - Durant Center,256,713,6,975,0
Precinct,105 - Lee Center,235,551,0,786,0
Precinct,106 - Cora Kelly,328,1099,3,1430,0
Precinct,107 - Mt Vernon Recreation Center,375,1502,6,1883,0
Precinct,108 - George Washington Middle Sch,346,1342,1,1689,0
Precinct,109 - Fire Department Headquarters,294,702,2,998,0
Precinct,110 - Charles Houston Center,277,945,4,1226,0
Precinct,111 - Potomac Yard,172,459,2,633,0
Precinct,112 - Alex Renew,203,506,1,710,0
Precinct,201 - Naomi L. Brooks School,320,969,1,1290,0
Precinct,202 - George Mason School,433,852,3,1288,0
Precinct,203 - Charles Barrett Center,302,907,5,1214,0
Precinct,204 - Blessed Sacrament Church,382,893,2,1277,0
Precinct,205 - Douglas Macarthur School,390,804,1,1195,0
Precinct,206 - Chinquapin Park Recreation Ctr,278,664,0,942,0
Precinct,207 - Temple Beth El Synagogue,466,931,5,1402,0
Precinct,208 - Nova Arts Center,343,922,3,1268,0
Precinct,209 - James K Polk School,290,990,4,1284,0
Precinct,210 - The Hermitage,181,353,1,535,0
Precinct,302 - Patrick Henry Rec Center,203,631,1,835,0
Precinct,303 - Charles E Beatley Library,196,581,2,779,0
Precinct,304 - Samuel Tucker School,216,669,1,886,0
Precinct,305 - John Adams School,240,727,1,968,0
Precinct,306 - William Ramsay School,258,829,3,1090,0
Precinct,307 - South Port,269,774,4,1047,0
Precinct,308 - Cameron Station Community Ctr,434,899,2,1335,0
Precinct,309 - Olympus Condo,164,553,0,717,0
Precinct,Ab - Central Absentee Precinct,1116,6799,12,7927,0
Precinct,Provisional,48,200,1,249,0
Locality,Alleghany County,4431,1609,6,6046,0
Precinct,##ev - Central Absentee Precinct,396,250,0,646,0
Precinct,##pe - Central Absentee Precinct,1,1,0,2,0
Precinct,101 - Arritt,445,92,1,538,0
Precinct,103 - Dameron,176,27,0,203,0
Precinct,201 - Humpback Bridge,249,54,0,303,0
Precinct,202 - Dolly Ann,320,66,2,388,0
Precinct,301 - Callaghan,281,43,0,324,0
Precinct,302 - Griffith,431,116,0,547,0
Precinct,401 - Low Moor,290,71,0,361,0
Precinct,402 - Jackson Heights,343,90,1,434,0
Precinct,501 - Iron Gate,141,65,1,207,0
Precinct,502 - Peters Switch,523,117,0,640,0
Precinct,601 - District 1,455,236,0,691,0
Precinct,701 - District 2,276,174,0,450,0
Precinct,Ab - Central Absentee Precinct,104,207,1,312,0
Precinct,Provisional,0,0,0,0,0
Locality,Amelia County,4687,1632,7,6326,0
Precinct,##ev - Central Absentee Precinct,1356,600,1,1957,0
Precinct,##pe - Central Absentee Precinct,7,6,0,13,0
Precinct,101 - Number One,596,137,3,736,0
Precinct,201 - Number Two,659,192,1,852,0
Precinct,301 - Number Three,644,149,1,794,0
Precinct,401 - Number Four,575,129,0,704,0
Precinct,501 - Number Five,749,259,1,1009,0
Precinct,Ab - Central Absentee Precinct,100,157,0,257,0
Precinct,Provisional,1,3,0,4,0
Locality,Amherst County,9624,4004,10,13638,0
Precinct,##ev - Central Absentee Precinct,1975,1049,1,3025,0
Precinct,##pe - Central Absentee Precinct,4,8,0,12,0
Precinct,101 - Wright Shop,378,281,2,661,0
Precinct,102 - New Glasgow,654,177,0,831,0
Precinct,103 - Coolwell,390,74,2,466,0
Precinct,201 - Court House,864,341,0,1205,0
Precinct,202 - Temperance,508,107,0,615,0
Precinct,301 - Monroe,478,130,0,608,0
Precinct,302 - Elon,1217,284,2,1503,0
Precinct,303 - Pleasant View,299,65,0,364,0
Precinct,401 - Amelon,1084,348,1,1433,0
Precinct,402 - Lonco,323,83,0,406,0
Precinct,501 - Madison,1087,436,2,1525,0
Precinct,AB - Central Absentee Precinct,360,618,0,978,0
Precinct,Provisional,3,3,0,6,0
Locality,Appomattox County,5922,1460,8,7390,0
Precinct,##ev - Central Absentee Precinct,1457,458,2,1917,0
Precinct,##pe - Central Absentee Precinct,2,5,0,7,0
Precinct,101 - Vera,345,49,1,395,0
Precinct,102 - Pamplin,541,131,0,672,0
Precinct,201 - Chap,200,60,0,260,0
Precinct,202 - Spout Spring,778,78,0,856,0
Precinct,301 - Us 460,504,62,1,567,0
Precinct,302 - Stonewall,560,111,1,672,0
Precinct,401 - Courthouse,642,138,2,782,0
Precinct,501 - Oakville,565,158,1,724,0
Precinct,502 - Agee,217,61,0,278,0
Precinct,Ab - Central Absentee Precinct,110,149,0,259,0
Precinct,Provisional,1,0,0,1,0
Locality,Arlington County,21427,72990,175,94592,0
Precinct,##ev - Central Absentee Precinct,4925,22642,35,27602,0
Precinct,##pe - Central Absentee Precinct,156,810,0,966,0
Precinct,1 - Arlington,217,689,2,908,0
Precinct,2 - Ashton Heights,290,795,6,1091,0
Precinct,3 - Aurora Hills,256,490,2,748,0
Precinct,4 - Ballston,305,876,4,1185,0
Precinct,5 - Barcroft,279,817,3,1099,0
Precinct,6 - Crystal City,241,583,0,824,0
Precinct,7 - Cherrydale,321,794,0,1115,0
Precinct,8 - Hume,344,955,5,1304,0
Precinct,9 - Columbia,310,882,1,1193,0
Precinct,10 - Wilson,293,735,2,1030,0
Precinct,11 - East Falls Church,249,657,0,906,0
Precinct,12 - Fairlington,352,943,4,1299,0
Precinct,13 - Glen Carlyn,238,556,0,794,0
Precinct,14 - Clarendon,205,543,1,749,0
Precinct,15 - Lyon Park,179,456,0,635,0
Precinct,16 - Lyon Village,302,726,6,1034,0
Precinct,17 - Overlee Knolls,379,921,4,1304,0
Precinct,18 - Park Lane,380,869,3,1252,0
Precinct,19 - Rosslyn,285,696,2,983,0
Precinct,20 - Thrifton,319,570,2,891,0
Precinct,21 - Virginia Highlands,177,452,0,629,0
Precinct,22 - Abingdon,306,865,3,1174,0
Precinct,23 - Westover,303,883,2,1188,0
Precinct,24 - Woodlawn,349,1043,4,1396,0
Precinct,25 - Arlington Forest,273,747,2,1022,0
Precinct,26 - Fillmore,299,901,4,1204,0
Precinct,27 - Jefferson,290,840,3,1133,0
Precinct,28 - Wakefield,266,898,3,1167,0
Precinct,29 - Dominion Hills,307,814,5,1126,0
Precinct,30 - Glebe,222,740,0,962,0
Precinct,31 - Lexington,317,911,0,1228,0
Precinct,32 - Oakridge,176,297,1,474,0
Precinct,33 - Rock Spring,431,664,1,1096,0
Precinct,34 - Yorktown,342,716,3,1061,0
Precinct,35 - Madison,435,545,4,984,0
Precinct,36 - Marshall,349,751,1,1101,0
Precinct,37 - Nottingham,352,744,4,1100,0
Precinct,38 - Arlington View,182,646,4,832,0
Precinct,39 - Ashlawn,176,498,0,674,0
Precinct,40 - Virginia Square,362,865,3,1230,0
Precinct,41 - Navy League,195,536,4,735,0
Precinct,42 - Shirlington,179,614,0,793,0
Precinct,43 - Campbell,162,581,1,744,0
Precinct,44 - Dawson Terrace,182,527,1,710,0
Precinct,45 - Buckingham,208,533,1,742,0
Precinct,46 - Central,370,854,2,1226,0
Precinct,47 - Four Mile Run,169,600,1,770,0
Precinct,48 - Ausa,220,440,1,661,0
Precinct,49 - Monroe,212,548,1,761,0
Precinct,50 - Crystal Plaza,289,642,1,932,0
Precinct,51 - Taylor,78,281,0,359,0
Precinct,52 - Gunston,184,588,0,772,0
Precinct,53 - Met Park,311,868,2,1181,0
Precinct,54 - Garfield Park,136,345,4,485,0
Precinct,Ab - Central Absentee Precinct,1736,11890,26,13652,0
Precinct,Provisional,57,318,1,376,0
Locality,Augusta County,26259,7196,22,33477,0
Precinct,##ev - Central Absentee Precinct,5983,2267,2,8252,0
Precinct,##pe - Central Absentee Precinct,31,33,0,64,0
Precinct,101 - Jolivue,451,123,0,574,0
Precinct,102 - Stuarts Draft Elementary,564,169,1,734,0
Precinct,103 - Verona,800,173,1,974,0
Precinct,201 - Crimora,1091,166,0,1257,0
Precinct,202 - New Hope,734,112,2,848,0
Precinct,203 - Weyers Cave,1006,234,0,1240,0
Precinct,301 - Fort Defiance,1187,278,2,1467,0
Precinct,302 - North River,459,66,0,525,0
Precinct,303 - Mount Solon,715,74,1,790,0
Precinct,304 - Churchville Fire Station,534,93,0,627,0
Precinct,401 - Buffalo Gap,633,105,0,738,0
Precinct,402 - Churchville Elementary,624,91,1,716,0
Precinct,403 - Craigsville,533,61,0,594,0
Precinct,404 - Deerfield,253,43,0,296,0
Precinct,405 - Cedar Green,640,174,0,814,0
Precinct,501 - Greenville,1004,155,1,1160,0
Precinct,502 - Middlebrook,567,95,0,662,0
Precinct,503 - Spottswood,617,93,0,710,0
Precinct,504 - White Hill,953,138,1,1092,0
Precinct,601 - Sherando,784,134,0,918,0
Precinct,602 - Ridgeview,1468,247,0,1715,0
Precinct,603 - Lyndhurst,943,243,0,1186,0
Precinct,801 - Dooms,778,153,1,932,0
Precinct,802 - Fishersville,1150,328,2,1480,0
Precinct,803 - Wilson,841,315,3,1159,0
Precinct,Ab - Central Absentee Precinct,895,1010,4,1909,0
Precinct,Provisional,21,23,0,44,0
Locality,Bath County,1509,425,0,1934,0
Precinct,##ev - Central Absentee Precinct,176,86,0,262,0
Precinct,##pe - Central Absentee Precinct,5,2,0,7,0
Precinct,101 - Warm Springs,207,68,0,275,0
Precinct,102 - Mountain Grove,51,10,0,61,0
Precinct,201 - Hot Springs,160,62,0,222,0
Precinct,301 - Fairview,241,25,0,266,0
Precinct,302 - Burnsville,59,7,0,66,0
Precinct,401 - Millboro,316,49,0,365,0
Precinct,501 - Healing Springs,267,77,0,344,0
Precinct,Ab - Central Absentee Precinct,27,39,0,66,0
Precinct,Provisional,0,0,0,0,0
Locality,Bedford County,30604,8248,33,38885,0
Precinct,##ev - Central Absentee Precinct (CD 5),3777,1339,1,5117,0
Precinct,##ev - Central Absentee Precinct (CD 6),2583,885,4,3472,0
Precinct,##pe - Central Absentee Precinct (CD 5),45,32,0,77,0
Precinct,##pe - Central Absentee Precinct (CD 6),34,50,0,84,0
Precinct,101 - Goodview Elem School (CD 5),1110,191,2,1303,0
Precinct,102 - Hardy Vol Fire Co (CD 5),501,113,2,616,0
Precinct,103 - Chamblissburg Baptist Church (CD 5),754,149,1,904,0
Precinct,104 - Stewartsville Rescue Squad (CD 5),716,139,1,856,0
Precinct,201 - Bedford Christian Church (CD 5),335,63,0,398,0
Precinct,202 - Staunton River High School (CD 5),592,99,1,692,0
Precinct,203 - Moneta Elem School (CD 5),996,197,2,1195,0
Precinct,204 - Quaker Baptist Church (CD 5),360,65,0,425,0
Precinct,205 - Saunders Vol Fire Co (CD 5),842,198,1,1041,0
Precinct,301 - New London Academy (CD 6),1100,159,0,1259,0
Precinct,302 - Bedford Regional Water Auth (CD 5),557,97,3,657,0
Precinct,303 - Bethesda United Methodist Church (CD 5),469,70,1,540,0
Precinct,304 - Riverside Church (CD 6),461,95,1,557,0
Precinct,305 - Huddleston Elem School (CD 5),400,62,0,462,0
Precinct,306 - Forest Fire Station #2 (CD 6),651,74,0,725,0
Precinct,401 - Forest Elementary School (CD 6),1207,240,1,1448,0
Precinct,402 - Thomas Jefferson Elem School (CD 6),594,163,1,758,0
Precinct,403 - Knights Of Columbus Bldg (CD 6),1360,307,3,1670,0
Precinct,404 - Forest Recreation Center (CD 6),1001,152,0,1153,0
Precinct,502 - Big Island Elem School (CD 6),314,56,0,370,0
Precinct,503 - Sedalia Center (CD 6),418,70,1,489,0
Precinct,504 - Suck Springs Baptist Church (CD 6),561,88,0,649,0
Precinct,505 - Boonsboro Elementary School (CD 6),936,344,1,1281,0
Precinct,506 - Boonsboro Ruritan Club (CD 6),1535,335,0,1870,0
Precinct,601 - Montvale Elem School (CD 6),753,135,1,889,0
Precinct,602 - Shady Grove Fire Department (CD 5),839,142,1,982,0
Precinct,603 - Thaxton Baptist Church #1 (CD 5),200,37,1,238,0
Precinct,604 - Bedford Welcome Center (CD 5),806,197,0,1003,0
Precinct,701 - Goode Vol Rescue Squad (CD 5),1191,163,1,1355,0
Precinct,702 - Liberty High School (CD 5),469,74,0,543,0
Precinct,703 - Thaxton Baptist Church #2 (CD 5),429,70,0,499,0
Precinct,704 - Bedford Central Library (CD 5),724,252,0,976,0
Precinct,Ab - Central Absentee Precinct (CD 5),368,640,2,1010,0
Precinct,Ab - Central Absentee Precinct (CD 6),581,694,0,1275,0
Precinct,Provisional (CD 5),10,5,0,15,0
Precinct,Provisional (CD 6),25,7,0,32,0
Locality,Bland County,2236,389,1,2626,0
Precinct,##ev - Central Absentee Precinct,380,80,0,460,0
Precinct,##pe - Central Absentee Precinct,0,0,0,0,0
Precinct,101 - Bastian,215,28,0,243,0
Precinct,102 - Ceres,257,37,0,294,0
Precinct,201 - Davis,68,21,0,89,0
Precinct,202 - Seddon,411,61,0,472,0
Precinct,301 - Hollybrook,263,20,1,284,0
Precinct,302 - Mechanicsburg,132,13,0,145,0
Precinct,401 - Rocky Gap,461,64,0,525,0
Precinct,Ab - Central Absentee Precinct,49,65,0,114,0
Precinct,Provisional,0,0,0,0,0
Locality,Botetourt County,12940,4090,18,17048,0
Precinct,##ev - Central Absentee Precinct,3166,1417,3,4586,0
Precinct,##pe - Central Absentee Precinct,22,18,0,40,0
Precinct,101 - Daleville,950,297,1,1248,0
Precinct,102 - Greenfield,1074,206,1,1281,0
Precinct,201 - Blue Ridge,1047,227,2,1276,0
Precinct,202 - Rainbow Forest,1021,239,0,1260,0
Precinct,301 - Buchanan,917,168,2,1087,0
Precinct,302 - Mill Creek,829,185,1,1015,0
Precinct,403 - Eagle Rock,637,114,0,751,0
Precinct,406 - Fincastle,1078,201,2,1281,0
Precinct,501 - Troutville,661,152,1,814,0
Precinct,502 - Cloverdale,1094,316,3,1413,0
Precinct,Ab - Central Absentee Precinct,441,550,2,993,0
Precinct,Provisional,3,0,0,3,0
Locality,Bristol City,3745,1319,5,5069,0
Precinct,##ev - Central Absentee Precinct,804,383,1,1188,0
Precinct,##pe - Central Absentee Precinct,6,3,0,9,0
Precinct,1 - First Ward,490,114,0,604,0
Precinct,2 - Second Ward,669,198,0,867,0
Precinct,3 - Third Ward,304,135,0,439,0
Precinct,4 - Fourth Ward,1270,201,1,1472,0
Precinct,Ab - Central Absentee Precinct,199,283,3,485,0
Precinct,Provisional,3,2,0,5,0
Locality,Brunswick County,2866,3193,3,6062,0
Precinct,##ev - Central Absentee Precinct,674,996,0,1670,0
Precinct,##pe - Central Absentee Precinct,1,2,0,3,0
Precinct,101 - Brodnax,133,109,1,243,0
Precinct,102 - Rock Store,258,106,0,364,0
Precinct,103 - Tillman,326,155,0,481,0
Precinct,201 - Dromgoole,85,58,0,143,0
Precinct,202 - Edgerton,95,202,0,297,0
Precinct,203 - Fitzhugh,132,163,0,295,0
Precinct,301 - Alberta,65,53,0,118,0
Precinct,302 - Danieltown,288,159,0,447,0
Precinct,303 - Elmore,118,82,1,201,0
Precinct,304 - Seymour,117,92,0,209,0
Precinct,401 - Sturgeon,282,264,0,546,0
Precinct,402 - King's Store,78,139,0,217,0
Precinct,501 - Totaro,116,302,1,419,0
Precinct,Ab - Central Absentee Precinct,96,309,0,405,0
Precinct,Provisional,2,2,0,4,0
Locality,Buchanan County,4976,898,16,5890,0
Precinct,##ev - Central Absentee Precinct,607,168,1,776,0
Precinct,##pe - Central Absentee Precinct,3,1,0,4,0
Precinct,102 - Blackey,230,11,0,241,0
Precinct,103 - Hurley,417,42,0,459,0
Precinct,201 - Grassy,53,17,1,71,0
Precinct,202 - Bull,295,29,2,326,0
Precinct,203 - Rocklick,284,29,1,314,0
Precinct,301 - Slate,313,47,1,361,0
Precinct,302 - North Grundy,265,33,1,299,0
Precinct,403 - South Grundy,425,52,0,477,0
Precinct,404 - Oakwood,46,10,0,56,0
Precinct,501 - Prater,276,58,1,335,0
Precinct,502 - Fox,66,19,0,85,0
Precinct,503 - Vansant,296,44,1,341,0
Precinct,601 - Council,199,31,1,231,0
Precinct,602 - Garden,296,43,1,340,0
Precinct,603 - Hurricane,161,50,0,211,0
Precinct,701 - Whitewood,333,59,1,393,0
Precinct,702 - Contrary,277,36,2,315,0
Precinct,Ab - Central Absentee Precinct,133,119,2,254,0
Precinct,Provisional,1,0,0,1,0
Locality,Buckingham County,3883,2224,4,6111,0
Precinct,##ev - Central Absentee Precinct,894,734,2,1630,0
Precinct,##pe - Central Absentee Precinct,4,4,0,8,0
Precinct,101 - New Canton,403,204,0,607,0
Precinct,102 - Georgia Creek,138,51,0,189,0
Precinct,201 - White Hall,214,125,0,339,0
Precinct,301 - Curdsville,313,134,0,447,0
Precinct,302 - New Store,292,55,1,348,0
Precinct,401 - Maysville,463,155,0,618,0
Precinct,501 - Wrights,212,46,0,258,0
Precinct,502 - Glenmore,260,130,0,390,0
Precinct,601 - Slate River,312,204,0,516,0
Precinct,701 - Gold Hill,253,111,1,365,0
Precinct,Ab - Central Absentee Precinct,124,267,0,391,0
Precinct,Provisional,1,4,0,5,0
Locality,Buena Vista City,1415,528,3,1946,0
Precinct,##ev - Central Absentee Precinct,385,186,0,571,0
Precinct,##pe - Central Absentee Precinct,1,5,0,6,0
Precinct,1 - First Ward,565,133,3,701,0
Precinct,2 - Second Ward,409,113,0,522,0
Precinct,AB - Central Absentee Precinct,55,90,0,145,0
Precinct,Provisional,0,1,0,1,0
Locality,Campbell County,18058,5050,17,23125,0
Precinct,##ev - Central Absentee Precinct,3660,1493,4,5157,0
Precinct,##pe - Central Absentee Precinct,7,4,0,11,0
Precinct,101 - Brookville,1169,251,2,1422,0
Precinct,102 - New London,1239,208,1,1448,0
Precinct,201 - Walker,835,218,2,1055,0
Precinct,202 - Bedford Springs,1358,227,0,1585,0
Precinct,301 - Evington,518,112,0,630,0
Precinct,302 - Otter River,428,82,1,511,0
Precinct,303 - Altavista,987,336,3,1326,0
Precinct,401 - Three Forks,860,104,1,965,0
Precinct,402 - Court House,1238,217,0,1455,0
Precinct,501 - Spring Hill,1138,218,0,1356,0
Precinct,502 - Yellow Branch,698,181,1,880,0
Precinct,601 - Kings,716,181,1,898,0
Precinct,602 - Concord,1094,217,0,1311,0
Precinct,701 - Brookneal,580,139,0,719,0
Precinct,702 - Gladys,747,186,1,934,0
Precinct,703 - Morris Church,435,86,0,521,0
Precinct,AB - Central Absentee Precinct,351,590,0,941,0
Precinct,Provisional,0,0,0,0,0
Locality,Caroline County,6905,5092,11,12008,0
Precinct,##ev - Central Absentee Precinct,1112,1283,1,2396,0
Precinct,##pe - Central Absentee Precinct,8,15,0,23,0
Precinct,101 - Bowling Green,606,199,0,805,0
Precinct,102 - Sparta,515,179,1,695,0
Precinct,201 - North Madison,393,300,1,694,0
Precinct,202 - South Madison,602,320,1,923,0
Precinct,301 - Port Royal,273,153,0,426,0
Precinct,302 - Woodford,725,317,0,1042,0
Precinct,401 - Dawn,541,480,1,1022,0
Precinct,402 - Carmel Church,200,200,1,401,0
Precinct,501 - West Mattaponi,350,324,0,674,0
Precinct,502 - Milford,399,171,0,570,0
Precinct,601 - Chilesburg,562,331,2,895,0
Precinct,602 - Lake,414,217,0,631,0
Precinct,Ab - Central Absentee Precinct,198,589,3,790,0
Precinct,Provisional,7,14,0,21,0
Locality,Carroll County,9720,1999,10,11729,0
Precinct,##ev - Central Absentee Precinct,1311,423,3,1737,0
Precinct,##pe - Central Absentee Precinct,8,8,0,16,0
Precinct,101 - Mt Bethel,335,51,0,386,0
Precinct,102 - St Paul,504,60,0,564,0
Precinct,103 - Lambsburg,293,39,1,333,0
Precinct,105 - Fancy Gap,411,70,0,481,0
Precinct,201 - Hillsville B,741,158,0,899,0
Precinct,202 - Laurel Fork,363,68,0,431,0
Precinct,203 - Gladesboro,470,80,0,550,0
Precinct,301 - Hillsville C,929,139,1,1069,0
Precinct,302 - Sylvatus,418,53,1,472,0
Precinct,303 - Dugspur,211,39,0,250,0
Precinct,401 - Oakland,794,118,1,913,0
Precinct,402 - Woodlawn D,697,83,1,781,0
Precinct,406 - Woodlawn F,119,30,0,149,0
Precinct,501 - Vaughan,291,38,0,329,0
Precinct,502 - Gladeville,720,91,0,811,0
Precinct,503 - Woodlawn E,333,49,2,384,0
Precinct,504 - Laurel,394,57,0,451,0
Precinct,Ab - Central Absentee Precinct,370,342,0,712,0
Precinct,Provisional,8,3,0,11,0
Locality,Charles City County,1572,1800,1,3373,0
Precinct,##ev - Central Absentee Precinct,440,688,1,1129,0
Precinct,##pe - Central Absentee Precinct,4,11,0,15,0
Precinct,101 - Precinct 1-1,495,292,0,787,0
Precinct,201 - Precinct 2-1,267,284,0,551,0
Precinct,301 - Precinct 3-1,312,277,0,589,0
Precinct,Ab - Central Absentee Precinct,53,242,0,295,0
Precinct,Provisional,1,6,0,7,0
Locality,Charlotte County,3314,1428,6,4748,0
Precinct,##ev - Central Absentee Precinct,654,427,1,1082,0
Precinct,##pe - Central Absentee Precinct,2,1,0,3,0
Precinct,101 - County Seat,359,124,0,483,0
Precinct,201 - Red Oak Wylliesburg,432,150,1,583,0
Precinct,302 - Drakes Branch,320,91,1,412,0
Precinct,401 - Keysville,440,130,0,570,0
Precinct,501 - Cullen/Red House,308,114,0,422,0
Precinct,602 - Phenix,493,102,0,595,0
Precinct,702 - Bacon/Saxe,248,111,1,360,0
Precinct,Ab - Central Absentee Precinct,58,175,2,235,0
Precinct,Provisional,0,3,0,3,0
Locality,Charlottesville City,2828,14352,15,17195,0
Precinct,##ev - Central Absentee Precinct,502,3997,2,4501,0
Precinct,##pe - Central Absentee Precinct,19,142,0,161,0
Precinct,101 - Key Recreation,260,1039,0,1299,0
Precinct,102 - Clark,263,1214,3,1480,0
Precinct,201 - Carver,154,950,1,1105,0
Precinct,202 - Walker,439,1281,3,1723,0
Precinct,301 - Benjamin Tonsler,161,921,1,1083,0
Precinct,302 - Johnson,380,1188,1,1569,0
Precinct,303 - Buford,106,491,1,598,0
Precinct,401 - Venable,90,537,1,628,0
Precinct,402 - Alumni Hall,249,680,0,929,0
Precinct,Ab - Central Absentee Precinct,196,1864,2,2062,0
Precinct,Provisional,9,48,0,57,0
Locality,Chesapeake City,48519,42936,95,91550,0
Precinct,##ev - Central Absentee Precinct (CD 3),4863,7666,22,12551,0
Precinct,##ev - Central Absentee Precinct (CD 4),10625,8190,12,18827,0
Precinct,##pe - Central Absentee Precinct (CD 3),74,238,1,313,0
Precinct,##pe - Central Absentee Precinct (CD 4),167,239,4,410,0
Precinct,1 - Great Bridge (CD 4),619,245,1,865,0
Precinct,2 - Bethel (CD 4),987,133,0,1120,0
Precinct,3 - Camelot (CD 3),87,571,1,659,0
Precinct,4 - Churchland (CD 3),582,231,0,813,0
Precinct,5 - Crestwood (CD 3),145,677,0,822,0
Precinct,6 - Deep Creek (CD 4),515,364,0,879,0
Precinct,7 - Greenbrier (CD 4),501,252,0,753,0
Precinct,8 - South Norfolk Recreation (CD 3),577,496,0,1073,0
Precinct,9 - Bells Mill (CD 4),1036,296,0,1332,0
Precinct,10 - Oscar Smith (CD 3),277,217,0,494,0
Precinct,11 - Geneva Park (CD 3),482,257,1,740,0
Precinct,12 - Georgetown (CD 3),125,442,0,567,0
Precinct,13 - Gilmerton (CD 3),536,382,1,919,0
Precinct,14 - Grassfield (CD 4),599,250,1,850,0
Precinct,15 - Greenbrier Middle School (CD 3),393,454,1,848,0
Precinct,16 - Hickory Grove (CD 4),963,258,0,1221,0
Precinct,17 - Indian Creek (CD 4),799,159,1,959,0
Precinct,18 - Indian River (CD 3),263,361,2,626,0
Precinct,19 - Jolliff (CD 4),496,185,0,681,0
Precinct,20 - E W Chittum (CD 4),671,381,1,1053,0
Precinct,21 - Fellowship (CD 3),621,376,0,997,0
Precinct,22 - Norfolk Highlands (CD 3),381,210,1,592,0
Precinct,23 - Oak Grove (CD 4),468,455,2,925,0
Precinct,24 - Oaklette (CD 3),366,341,0,707,0
Precinct,25 - St Julians (CD 3),313,418,3,734,0
Precinct,26 - Johnson Park (CD 3),192,269,1,462,0
Precinct,27 - Silverwood (CD 3),565,326,0,891,0
Precinct,28 - Sunray I (CD 4),155,67,2,224,0
Precinct,29 - Tanglewood (CD 3),527,205,2,734,0
Precinct,30 - South Norfolk (CD 3),27,350,3,380,0
Precinct,31 - Carver School (CD 3),173,558,0,731,0
Precinct,32 - Providence (CD 3),85,684,3,772,0
Precinct,33 - Westover (CD 3),404,190,1,595,0
Precinct,34 - Hickory Middle School (CD 4),973,234,0,1207,0
Precinct,35 - Taylor Road (CD 3),181,319,1,501,0
Precinct,36 - Great Bridge Baptist Church (CD 4),707,237,2,946,0
Precinct,37 - Bridgetown (CD 4),699,270,1,970,0
