,,Justin Edward Fairfax,Jill Holtzman Vogel,Write-Ins,Total Votes Cast,Undervotes
Precinct,Provisional,1,0,0,1,0
Locality,Carroll County,1759,6445,3,8207,0
Precinct,101 - Mt Bethel,63,224,0,287,0
Precinct,102 - St Paul,87,349,0,436,0
Precinct,103 - Lambsburg,40,209,1,250,0
Precinct,105 - Fancy Gap,105,311,1,417,0
Precinct,201 - Hillsville B,238,700,0,938,0
Precinct,202 - Laurel Fork,76,262,0,338,0
Precinct,203 - Gladesboro,119,370,0,489,0
Precinct,301 - Hillsville C,222,736,1,959,0
Precinct,302 - Sylvatus,69,301,0,370,0
Precinct,303 - Dugspur,41,157,0,198,0
Precinct,402 - Woodlawn D,167,546,0,713,0
Precinct,403 - Oakland D,81,345,0,426,0
Precinct,405 - Oakland A,77,245,0,322,0
Precinct,406 - Woodlawn F,22,92,0,114,0
Precinct,501 - Vaughan,41,207,0,248,0
Precinct,502 - Gladeville,104,547,0,651,0
Precinct,503 - Woodlawn E,55,267,0,322,0
Precinct,504 - Laurel,51,296,0,347,0
Precinct,Ab - Central Absentee Precinct,101,276,0,377,0
Precinct,Provisional,0,5,0,5,0
Locality,Charles City County,1698,1005,1,2704,0
Precinct,101 - Precinct 1-1,497,362,0,859,0
Precinct,201 - Precinct 2-1,520,251,0,771,0
Precinct,301 - Precinct 3-1,533,320,1,854,0
Precinct,Ab - Central Absentee Precinct,148,71,0,219,0
Precinct,Provisional,0,1,0,1,0
Locality,Charlotte County,1393,2582,7,3982,0
Precinct,101 - County Seat,205,356,0,561,0
Precinct,201 - Red Oak Wylliesburg,194,396,0,590,0
Precinct,302 - Drakes Branch,146,295,0,441,0
Precinct,401 - Keysville,199,396,0,595,0
Precinct,501 - Cullen/Red House,188,300,4,492,0
Precinct,602 - Phenix,185,453,2,640,0
Precinct,702 - Bacon/Saxe,180,281,1,462,0
Precinct,Ab - Central Absentee Precinct,95,105,0,200,0
Precinct,Provisional,1,0,0,1,0
Locality,Charlottesville City,13687,2562,18,16267,0
Precinct,101 - Recreation,1769,343,5,2117,0
Precinct,102 - Clark,1719,286,3,2008,0
Precinct,201 - Carver,1421,166,3,1590,0
Precinct,202 - Walker,1926,504,0,2430,0
Precinct,301 - Benjamin Tonsler,1387,170,1,1558,0
Precinct,302 - Johnson,1738,386,2,2126,0
Precinct,303 - Buford,819,128,0,947,0
Precinct,401 - Venable,682,107,3,792,0
Precinct,402 - Alumni Hall,984,266,0,1250,0
Precinct,Ab - Central Absentee Precinct,1212,200,1,1413,0
Precinct,Provisional,30,6,0,36,0
Locality,Chesapeake City,37034,35086,54,72174,0
Precinct,1 - Great Bridge (CD 4),421,790,0,1211,0
Precinct,2 - Bethel (CD 4),233,883,1,1117,0
Precinct,3 - Camelot (CD 3),1488,85,1,1574,0
Precinct,4 - Churchland (CD 3),327,659,0,986,0
Precinct,5 - Crestwood (CD 3),1079,102,1,1182,0
Precinct,6 - Deep Creek (CD 4),1203,911,0,2114,0
Precinct,7 - Greenbrier (CD 4),587,856,0,1443,0
Precinct,8 - South Norfolk Recreation (CD 3),657,542,0,1199,0
Precinct,9 - Bells Mill (CD 4),753,1404,2,2159,0
Precinct,10 - Oscar Smith (CD 3),260,282,0,542,0
Precinct,11 - Geneva Park (CD 3),375,453,1,829,0
Precinct,12 - Georgetown (CD 3),1001,148,0,1149,0
Precinct,13 - Gilmerton (CD 3),500,514,1,1015,0
Precinct,14 - Grassfield (CD 4),153,220,0,373,0
Precinct,15 - B M Williams (CD 3),634,385,1,1020,0
Precinct,16 - Hickory Grove (CD 4),364,937,0,1301,0
Precinct,17 - Indian Creek (CD 4),237,638,1,876,0
Precinct,18 - Indian River (CD 3),542,260,0,802,0
Precinct,19 - Jolliff (CD 4),315,599,0,914,0
Precinct,20 - E W Chittum (CD 4),602,805,2,1409,0
Precinct,20 - E W Chittum (CD 3),4,9,0,13,0
Precinct,21 - Fellowship (CD 3),560,685,0,1245,0
Precinct,22 - Norfolk Highlands (CD 3),295,400,0,695,0
Precinct,23 - Oak Grove (CD 4),657,544,1,1202,0
Precinct,24 - Oaklette (CD 3),592,368,2,962,0
Precinct,25 - St Julians (CD 3),307,272,2,581,0
Precinct,26 - Johnson Park (CD 3),348,158,2,508,0
Precinct,27 - Silverwood (CD 3),626,853,2,1481,0
Precinct,28 - Sunray I (CD 4),48,125,0,173,0
Precinct,29 - Tanglewood (CD 3),296,650,1,947,0
Precinct,30 - South Norfolk (CD 3),520,27,0,547,0
Precinct,31 - Carver School (CD 3),1071,164,3,1238,0
Precinct,32 - Providence (CD 3),1333,57,1,1391,0
Precinct,33 - Westover (CD 3),246,386,2,634,0
Precinct,34 - Hickory Middle School (CD 4),436,1271,0,1707,0
Precinct,35 - Taylor Road (CD 3),546,245,3,794,0
Precinct,36 - Great Bridge Baptist Church (CD 4),648,1145,1,1794,0
Precinct,37 - Bridgetown (CD 4),374,645,1,1020,0
Precinct,38 - Bailey Creek (CD 3),336,765,0,1101,0
Precinct,39 - Lake Drummond (CD 4),181,326,1,508,0
Precinct,40 - River Birch (CD 3),822,609,0,1431,0
Precinct,41 - John T West (CD 4),1105,763,1,1869,0
Precinct,42 - Parkways (CD 3),613,416,0,1029,0
Precinct,43 - Pleasant Crossing (CD 4),264,774,0,1038,0
Precinct,44 - Nansemond (CD 3),513,373,0,886,0
Precinct,45 - Sunray II (CD 4),330,148,0,478,0
Precinct,46 - Bells Mill II (CD 4),498,578,0,1076,0
Precinct,47 - Green Sea (CD 4),200,470,0,670,0
Precinct,48 - Jolliff Middle School (CD 4),1311,105,1,1417,0
Precinct,49 - Waterway (CD 4),1065,1176,2,2243,0
Precinct,50 - River Walk (CD 4),770,511,2,1283,0
Precinct,51 - Coopers Way (CD 4),358,1059,1,1418,0
Precinct,52 - Shipyard Road (CD 4),776,455,2,1233,0
Precinct,53 - Fairways (CD 3),461,348,0,809,0
Precinct,54 - Pughsville (CD 3),809,322,0,1131,0
Precinct,55 - Georgetown East (CD 3),757,176,1,934,0
Precinct,56 - Green Tree (CD 3),637,344,0,981,0
Precinct,57 - Cypress (CD 3),663,443,6,1112,0
Precinct,58 - Expressway (CD 4),352,128,1,481,0
Precinct,59 - Clearfield (CD 4),460,437,1,898,0
Precinct,60 - Parker Road (CD 4),505,1017,1,1523,0
Precinct,61 - Centerville (CD 4),302,742,0,1044,0
Precinct,62 - Fentress (CD 4),436,835,0,1271,0
Precinct,63 - Poplar Branch (CD 4),206,610,0,816,0
Precinct,AB - Central Absentee Precinct (CD 3),754,473,1,1228,0
Precinct,Ab - Central Absentee Precinct (CD 4),880,1169,1,2050,0
Precinct,Provisional (CD 3),12,9,0,21,0
Precinct,Provisional (CD 4),20,28,0,48,0
Locality,Chesterfield County,57845,60386,97,118328,0
Precinct,101 - Bellwood (CD 4),431,400,0,831,0
Precinct,102 - South Chester (CD 4),639,745,3,1387,0
Precinct,103 - Enon (CD 4),748,1068,0,1816,0
Precinct,104 - North Chester (CD 4),625,1011,2,1638,0
Precinct,105 - Drewrys Bluff (CD 7),505,385,1,891,0
Precinct,106 - Harrowgate (CD 4),1153,964,2,2119,0
Precinct,107 - Wells (CD 4),728,726,1,1455,0
Precinct,108 - Ecoff (CD 4),785,1383,1,2169,0
Precinct,109 - Elizabeth Scott (CD 4),1148,1125,0,2273,0
Precinct,110 - Dutch Gap (CD 4),506,547,1,1054,0
Precinct,111 - Iron Bridge (CD 4),1169,1278,3,2450,0
Precinct,112 - Carver (CD 4),706,629,1,1336,0
Precinct,201 - Gates (CD 4),528,657,1,1186,0
Precinct,202 - Beulah (CD 7),1075,593,1,1669,0
Precinct,203 - Bird (CD 4),195,218,0,413,0
Precinct,204 - Jacobs (CD 7),583,460,1,1044,0
Precinct,205 - Falling Creek (CD 7),818,443,0,1261,0
Precinct,206 - Belmont (CD 7),707,138,0,845,0
Precinct,207 - Chippenham (CD 7),367,134,0,501,0
Precinct,208 - Meadowbrook (CD 7),999,388,2,1389,0
Precinct,209 - Salem Church (CD 4),817,892,0,1709,0
Precinct,210 - Five Forks (CD 7),1335,694,4,2033,0
Precinct,211 - Nash (CD 4),814,1550,0,2364,0
Precinct,212 - St. Luke's (CD 7),388,503,1,892,0
Precinct,213 - Southside (CD 7),1816,476,0,2292,0
Precinct,214 - Hopkins (CD 7),139,23,0,162,0
