,,Mark Rankin Herring,John Donley Adams,Write-Ins,Total Votes Cast,Undervotes
Precinct,401 - Number Four,217,607,1,825,0
Precinct,501 - Number Five,348,602,1,951,0
Precinct,Ab - Central Absentee Precinct,97,222,1,320,0
Precinct,Provisional,0,2,0,2,0
Locality,Amherst County,3232,6462,14,9708,0
Precinct,101 - Wright Shop,351,268,0,619,0
Precinct,102 - New Glasgow,261,555,1,817,0
Precinct,103 - Coolwell,85,323,0,408,0
Precinct,201 - Court House,524,870,1,1395,0
Precinct,202 - Temperance,153,363,0,516,0
Precinct,301 - Monroe,149,417,0,566,0
Precinct,302 - Elon,318,1088,1,1407,0
Precinct,303 - Pleasant View,90,249,0,339,0
Precinct,401 - Amelon,478,991,1,1470,0
Precinct,402 - Lonco,110,228,0,338,0
Precinct,501 - Madison,513,877,3,1393,0
Precinct,Ab - Central Absentee Precinct,200,233,7,440,0
Precinct,Provisional,0,0,0,0,0
Locality,Appomattox County,1219,3929,4,5152,0
Precinct,101 - Vera,65,324,0,389,0
Precinct,102 - Pamplin,179,496,1,676,0
Precinct,201 - Chap,76,154,0,230,0
Precinct,202 - Spout Spring,147,678,1,826,0
Precinct,301 - Us 460,94,414,0,508,0
Precinct,302 - Stonewall,139,458,1,598,0
Precinct,401 - Courthouse,194,590,1,785,0
Precinct,501 - Oakville,179,483,0,662,0
Precinct,502 - Agee,86,196,0,282,0
Precinct,Ab - Central Absentee Precinct,60,135,0,195,0
Precinct,Provisional,0,1,0,1,0
Locality,Arlington County,67190,17383,89,84662,0
Precinct,1 - Arlington,984,200,4,1188,0
Precinct,2 - Ashton Heights,1253,292,1,1546,0
Precinct,3 - Aurora Hills,761,316,1,1078,0
Precinct,4 - Ballston,1134,288,0,1422,0
Precinct,5 - Barcroft,1013,293,1,1307,0
Precinct,6 - Crystal City,793,263,0,1056,0
Precinct,7 - Cherrydale,1192,340,2,1534,0
Precinct,8 - Hume,1282,403,3,1688,0
Precinct,9 - Columbia,1506,338,3,1847,0
Precinct,10 - Wilson,1336,378,0,1714,0
Precinct,11 - East Falls Church,855,274,0,1129,0
Precinct,12 - Fairlington,1239,373,4,1616,0
Precinct,13 - Glen Carlyn,815,220,0,1035,0
Precinct,14 - Clarendon,891,203,2,1096,0
Precinct,15 - Lyon Park,675,170,1,846,0
Precinct,16 - Lyon Village,1223,355,1,1579,0
Precinct,17 - Overlee Knolls,1303,405,0,1708,0
Precinct,18 - Park Lane,1500,396,0,1896,0
Precinct,19 - Rosslyn,1266,300,4,1570,0
Precinct,20 - Thrifton,1129,460,1,1590,0
Precinct,21 - Virginia Highlands,696,242,2,940,0
Precinct,22 - Abingdon,1368,354,5,1727,0
Precinct,23 - Westover,1222,303,0,1525,0
Precinct,24 - Woodlawn,1569,359,1,1929,0
Precinct,25 - Arlington Forest,1060,308,3,1371,0
Precinct,26 - Fillmore,1484,300,6,1790,0
Precinct,27 - Jefferson,1204,320,0,1524,0
Precinct,28 - Wakefield,1358,282,3,1643,0
Precinct,29 - Dominion Hills,1306,311,1,1618,0
Precinct,30 - Glebe,1111,210,2,1323,0
Precinct,31 - Lexington,1255,359,1,1615,0
Precinct,32 - Oakridge,447,186,0,633,0
Precinct,33 - Rock Spring,1213,469,1,1683,0
Precinct,34 - Yorktown,1118,360,1,1479,0
Precinct,35 - Madison,1157,602,3,1762,0
Precinct,36 - Marshall,1265,402,0,1667,0
Precinct,37 - Nottingham,1099,389,1,1489,0
Precinct,38 - Arlington View,1064,191,2,1257,0
Precinct,39 - Ashlawn,724,212,1,937,0
Precinct,40 - Virginia Square,1278,365,3,1646,0
Precinct,41 - Navy League,965,236,1,1202,0
Precinct,42 - Shirlington,1008,221,2,1231,0
Precinct,43 - Campbell,838,110,0,948,0
Precinct,44 - Dawson Terrace,913,159,1,1073,0
Precinct,45 - Buckingham,859,184,0,1043,0
Precinct,46 - Central,1231,330,1,1562,0
Precinct,47 - Four Mile Run,1007,164,2,1173,0
Precinct,48 - Ausa,772,244,0,1016,0
Precinct,49 - Monroe,681,154,1,836,0
Precinct,50 - Crystal Plaza,785,287,2,1074,0
Precinct,51 - Taylor,322,103,0,425,0
Precinct,52 - Gunston,792,201,3,996,0
Precinct,53 - Met Park,908,272,3,1183,0
Precinct,54 - Garfield Park,502,134,0,636,0
Precinct,Ab - Central Absentee Precinct,10378,1776,9,12163,0
Precinct,Provisional,81,17,0,98,0
Locality,Augusta County,5911,17536,13,23460,0
Precinct,101 - Jolivue,204,394,0,598,0
Precinct,102 - Stuarts Draft Elementary,213,452,0,665,0
Precinct,103 - Verona,271,864,1,1136,0
Precinct,201 - Crimora,249,855,1,1105,0
Precinct,202 - New Hope,171,629,0,800,0
Precinct,203 - Weyers Cave,314,850,1,1165,0
Precinct,301 - Fort Defiance,491,1339,1,1831,0
Precinct,302 - North River,104,403,0,507,0
Precinct,303 - Mount Solon,97,549,1,647,0
Precinct,304 - Churchville Fire Station,128,469,1,598,0
Precinct,401 - Buffalo Gap,136,528,0,664,0
Precinct,402 - Churchville Elementary,135,586,0,721,0
Precinct,403 - Craigsville,76,335,0,411,0
Precinct,404 - Deerfield,40,197,0,237,0
Precinct,405 - Cedar Green,269,658,0,927,0
Precinct,501 - Greenville,206,864,0,1070,0
Precinct,502 - Middlebrook,140,414,0,554,0
Precinct,503 - Spottswood,118,455,0,573,0
Precinct,504 - White Hill,247,902,1,1150,0
Precinct,601 - Sherando,173,547,0,720,0
Precinct,602 - Ridgeview,379,1246,0,1625,0
Precinct,603 - Lyndhurst,339,853,2,1194,0
Precinct,801 - Dooms,200,653,0,853,0
Precinct,802 - Fishersville,493,1109,1,1603,0
Precinct,803 - Wilson,409,742,2,1153,0
Precinct,Ab - Central Absentee Precinct,306,635,1,942,0
Precinct,Provisional,3,8,0,11,0
Locality,Bath County,449,1009,2,1460,0
Precinct,101 - Warm Springs,86,162,1,249,0
Precinct,102 - Mountain Grove,12,45,0,57,0
Precinct,201 - Hot Springs,81,132,0,213,0
Precinct,301 - Fairview,39,185,0,224,0
Precinct,302 - Burnsville,16,34,0,50,0
Precinct,401 - Millboro,85,210,0,295,0
Precinct,501 - Healing Springs,93,204,1,298,0
Precinct,Ab - Central Absentee Precinct,37,37,0,74,0
Precinct,Provisional,0,0,0,0,0
Locality,Bedford County,6804,20800,26,27630,0
Precinct,101 - Goodview Elem School (CD 5),209,840,0,1049,0
Precinct,102 - Hardy Vol Fire Co (CD 5),132,374,0,506,0
Precinct,103 - Chamblissburg Baptist Church (CD 5),197,584,0,781,0
Precinct,104 - Stewartsville Rescue Squad (CD 5),154,550,1,705,0
Precinct,201 - Bedford Christian Church (CD 5),99,309,0,408,0
Precinct,202 - Staunton River High School (CD 5),120,443,0,563,0
Precinct,203 - Moneta Elem School (CD 5),317,882,2,1201,0
Precinct,204 - Quaker Baptist Church (CD 5),93,292,1,386,0
Precinct,205 - Saunders Vol Fire Co (CD 5),264,693,0,957,0
Precinct,301 - New London Academy (CD 6),359,1567,1,1927,0
Precinct,302 - Bedford Regional Water Auth (CD 5),163,631,0,794,0
Precinct,303 - Bethesda United Methodist Church (CD 5),126,381,0,507,0
Precinct,304 - Forest Youth Athletic Assoc (CD 6),130,408,1,539,0
Precinct,305 - Huddleston Elem School (CD 5),77,350,0,427,0
Precinct,401 - Forest Elementary School (CD 6),331,1017,1,1349,0
Precinct,402 - Thomas Jefferson Elem School (CD 6),190,539,4,733,0
Precinct,403 - Knights Of Columbus Bldg (CD 6),414,1187,0,1601,0
Precinct,404 - St. Paul Baptist Church (CD 6),244,933,0,1177,0
Precinct,502 - Big Island Elem School (CD 6),81,230,3,314,0
Precinct,503 - Sedalia Center (CD 6),100,311,1,412,0
Precinct,504 - Suck Springs Baptist Church (CD 6),132,493,1,626,0
Precinct,505 - Boonsboro Elementary School (CD 6),372,898,3,1273,0
Precinct,506 - Boonsboro Ruritan Club (CD 6),375,1291,0,1666,0
Precinct,601 - Montvale Elem School (CD 6),186,596,1,783,0
Precinct,602 - Shady Grove Fire Department (CD 5),184,576,1,761,0
Precinct,603 - Thaxton Baptist Church #1 (CD 5),50,146,1,197,0
Precinct,604 - Bedford Welcome Center (CD 5),336,765,3,1104,0
Precinct,701 - Goode Vol Rescue Squad (CD 5),207,1013,1,1221,0
Precinct,702 - Liberty High School (CD 5),185,486,0,671,0
Precinct,703 - Thaxton Baptist Church #2 (CD 5),101,393,0,494,0
Precinct,704 - Bedford Central Library (CD 5),427,747,0,1174,0
Precinct,Ab - Central Absentee Precinct (CD 5),247,523,0,770,0
Precinct,Ab - Central Absentee Precinct (CD 6),199,343,0,542,0
Precinct,Provisional (CD 5),2,6,0,8,0
Precinct,Provisional (CD 6),1,3,0,4,0
Locality,Bland County,387,1666,2,2055,0
Precinct,101 - Bastian,42,193,0,235,0
Precinct,102 - Ceres,44,227,1,272,0
Precinct,201 - Davis,15,62,0,77,0
Precinct,202 - Seddon,105,398,1,504,0
Precinct,301 - Hollybrook,32,191,0,223,0
Precinct,302 - Mechanicsburg,14,112,0,126,0
Precinct,401 - Rocky Gap,110,413,0,523,0
Precinct,Ab - Central Absentee Precinct,25,68,0,93,0
Precinct,Provisional,0,2,0,2,0
Locality,Botetourt County,3332,9095,15,12442,0
Precinct,101 - Daleville,414,901,0,1315,0
Precinct,102 - Greenfield,324,1100,1,1425,0
Precinct,201 - Blue Ridge,307,910,0,1217,0
Precinct,202 - Rainbow Forest,319,972,3,1294,0
Precinct,301 - Buchanan,246,762,2,1010,0
Precinct,302 - Mill Creek,274,746,1,1021,0
Precinct,403 - Eagle Rock,158,532,2,692,0
Precinct,406 - Fincastle,392,1043,4,1439,0
Precinct,501 - Troutville,179,502,1,682,0
Precinct,502 - Cloverdale,481,1195,1,1677,0
Precinct,Ab - Central Absentee Precinct,235,430,0,665,0
Precinct,Provisional,3,2,0,5,0
Locality,Bristol City,1191,3040,3,4234,0
Precinct,1 - First Ward,182,468,0,650,0
Precinct,2 - Second Ward,342,718,1,1061,0
Precinct,3 - Third Ward,222,334,1,557,0
Precinct,4 - Fourth Ward,358,1337,1,1696,0
Precinct,Ab - Central Absentee Precinct,87,179,0,266,0
Precinct,Provisional,0,4,0,4,0
Locality,Brunswick County,2698,2011,0,4709,0
Precinct,101 - Brodnax,120,109,0,229,0
Precinct,102 - Rock Store,152,209,0,361,0
Precinct,103 - Tillman,138,262,0,400,0
Precinct,201 - Dromgoole,78,75,0,153,0
Precinct,202 - Edgerton,266,125,0,391,0
Precinct,203 - Fitzhugh,223,111,0,334,0
Precinct,301 - Alberta,45,58,0,103,0
Precinct,302 - Danieltown,231,210,0,441,0
Precinct,303 - Elmore,104,97,0,201,0
Precinct,304 - Seymour,109,70,0,179,0
Precinct,401 - Sturgeon,403,265,0,668,0
Precinct,402 - King's Store,174,76,0,250,0
Precinct,501 - Totaro,529,192,0,721,0
Precinct,Ab - Central Absentee Precinct,124,150,0,274,0
Precinct,Provisional,2,2,0,4,0
Locality,Buchanan County,1106,3314,4,4424,0
Precinct,102 - Blackey,24,135,0,159,0
Precinct,103 - Hurley,52,291,1,344,0
Precinct,201 - Grassy,20,37,0,57,0
Precinct,202 - Bull,43,171,0,214,0
Precinct,203 - Rocklick,62,183,0,245,0
Precinct,301 - Slate,87,212,1,300,0
Precinct,302 - North Grundy,56,223,1,280,0
Precinct,403 - South Grundy,88,370,0,458,0
Precinct,404 - Oakwood,8,37,0,45,0
Precinct,501 - Prater,92,159,0,251,0
Precinct,502 - Fox,48,47,0,95,0
Precinct,503 - Vansant,70,203,0,273,0
Precinct,601 - Council,41,135,0,176,0
Precinct,602 - Garden,66,213,0,279,0
Precinct,603 - Hurricane,66,122,0,188,0
Precinct,701 - Whitewood,108,283,0,391,0
Precinct,702 - Contrary,54,236,0,290,0
Precinct,Ab - Central Absentee Precinct,121,257,1,379,0
Precinct,Provisional,0,0,0,0,0
Locality,Buckingham County,1913,2663,3,4579,0
Precinct,101 - New Canton,264,318,1,583,0
Precinct,102 - Georgia Creek,64,117,0,181,0
Precinct,201 - White Hall,179,215,1,395,0
Precinct,301 - Curdsville,161,287,0,448,0
Precinct,302 - New Store,78,248,0,326,0
Precinct,401 - Maysville,259,439,0,698,0
Precinct,501 - Wrights,75,227,0,302,0
Precinct,502 - Glenmore,226,198,0,424,0
Precinct,601 - Slate River,327,252,1,580,0
Precinct,701 - Gold Hill,191,238,0,429,0
Precinct,Ab - Central Absentee Precinct,88,124,0,212,0
Precinct,Provisional,1,0,0,1,0
Locality,Buena Vista City,537,1068,2,1607,0
Precinct,1 - First Ward,293,613,2,908,0
Precinct,2 - Second Ward,244,455,0,699,0
Precinct,Provisional,0,0,0,0,0
Locality,Campbell County,4364,12879,14,17257,0
Precinct,101 - Brookville,365,1120,1,1486,0
Precinct,102 - New London,309,1079,1,1389,0
Precinct,201 - Walker,264,765,1,1030,0
Precinct,202 - Bedford Springs,318,1155,0,1473,0
Precinct,301 - Evington,120,378,0,498,0
Precinct,302 - Otter River,105,358,0,463,0
Precinct,303 - Altavista,405,776,0,1181,0
Precinct,401 - Three Forks,179,755,0,934,0
Precinct,402 - Court House,349,1281,4,1634,0
Precinct,501 - Spring Hill,283,1074,2,1359,0
Precinct,502 - Yellow Branch,255,581,1,837,0
Precinct,601 - Kings,253,626,1,880,0
Precinct,602 - Concord,333,989,0,1322,0
Precinct,701 - Brookneal,218,465,0,683,0
Precinct,702 - Gladys,279,642,1,922,0
Precinct,703 - Morris Church,116,326,1,443,0
Precinct,AB - Central Absentee Precinct,213,509,1,723,0
Precinct,Provisional,0,0,0,0,0
Locality,Caroline County,4082,4234,7,8323,0
Precinct,101 - Bowling Green,272,522,0,794,0
Precinct,102 - Sparta,221,351,0,572,0
Precinct,201 - North Madison,333,290,3,626,0
Precinct,202 - South Madison,366,386,0,752,0
Precinct,301 - Port Royal,131,195,0,326,0
Precinct,302 - Woodford,381,491,2,874,0
Precinct,401 - Dawn,702,408,1,1111,0
Precinct,402 - Carmel Church,242,151,0,393,0
Precinct,501 - West Mattaponi,448,280,0,728,0
Precinct,502 - Milford,230,315,1,546,0
Precinct,601 - Chilesburg,348,351,0,699,0
Precinct,602 - Lake,231,270,0,501,0
Precinct,Ab - Central Absentee Precinct,176,224,0,400,0
Precinct,Provisional,1,0,0,1,0
Locality,Carroll County,1867,6350,5,8222,0
Precinct,101 - Mt Bethel,66,219,1,286,0
Precinct,102 - St Paul,91,346,0,437,0
Precinct,103 - Lambsburg,44,206,0,250,0
Precinct,105 - Fancy Gap,109,308,0,417,0
Precinct,201 - Hillsville B,253,691,0,944,0
Precinct,202 - Laurel Fork,78,257,0,335,0
Precinct,203 - Gladesboro,129,361,0,490,0
Precinct,301 - Hillsville C,235,726,1,962,0
Precinct,302 - Sylvatus,69,299,0,368,0
Precinct,303 - Dugspur,38,161,0,199,0
Precinct,402 - Woodlawn D,183,529,0,712,0
Precinct,403 - Oakland D,90,337,1,428,0
Precinct,405 - Oakland A,84,238,0,322,0
Precinct,406 - Woodlawn F,22,91,0,113,0
Precinct,501 - Vaughan,46,205,0,251,0
Precinct,502 - Gladeville,110,542,0,652,0
Precinct,503 - Woodlawn E,57,265,2,324,0
Precinct,504 - Laurel,51,296,0,347,0
Precinct,Ab - Central Absentee Precinct,110,270,0,380,0
Precinct,Provisional,2,3,0,5,0
Locality,Charles City County,1683,1020,3,2706,0
Precinct,101 - Precinct 1-1,492,366,2,860,0
Precinct,201 - Precinct 2-1,518,253,0,771,0
Precinct,301 - Precinct 3-1,525,329,1,855,0
Precinct,Ab - Central Absentee Precinct,148,71,0,219,0
Precinct,Provisional,0,1,0,1,0
Locality,Charlotte County,1416,2565,7,3988,0
Precinct,101 - County Seat,206,357,0,563,0
Precinct,201 - Red Oak Wylliesburg,200,394,0,594,0
Precinct,302 - Drakes Branch,153,287,0,440,0
Precinct,401 - Keysville,195,398,0,593,0
Precinct,501 - Cullen/Red House,190,296,4,490,0
Precinct,602 - Phenix,197,446,3,646,0
Precinct,702 - Bacon/Saxe,181,281,0,462,0
Precinct,Ab - Central Absentee Precinct,93,106,0,199,0
Precinct,Provisional,1,0,0,1,0
Locality,Charlottesville City,13725,2498,21,16244,0
Precinct,101 - Recreation,1787,328,3,2118,0
Precinct,102 - Clark,1725,280,5,2010,0
Precinct,201 - Carver,1422,162,2,1586,0
Precinct,202 - Walker,1933,495,0,2428,0
Precinct,301 - Benjamin Tonsler,1389,165,1,1555,0
Precinct,302 - Johnson,1725,387,2,2114,0
Precinct,303 - Buford,818,129,0,947,0
Precinct,401 - Venable,684,102,2,788,0
Precinct,402 - Alumni Hall,992,255,3,1250,0
Precinct,Ab - Central Absentee Precinct,1221,189,3,1413,0
Precinct,Provisional,29,6,0,35,0
Locality,Chesapeake City,37506,34486,60,72052,0
Precinct,1 - Great Bridge (CD 4),436,770,0,1206,0
Precinct,2 - Bethel (CD 4),241,869,1,1111,0
Precinct,3 - Camelot (CD 3),1472,103,0,1575,0
Precinct,4 - Churchland (CD 3),339,643,0,982,0
Precinct,5 - Crestwood (CD 3),1067,112,1,1180,0
Precinct,6 - Deep Creek (CD 4),1210,892,0,2102,0
Precinct,7 - Greenbrier (CD 4),608,829,0,1437,0
Precinct,8 - South Norfolk Recreation (CD 3),671,528,1,1200,0
Precinct,9 - Bells Mill (CD 4),767,1379,4,2150,0
Precinct,10 - Oscar Smith (CD 3),279,263,0,542,0
Precinct,11 - Geneva Park (CD 3),380,452,0,832,0
Precinct,12 - Georgetown (CD 3),1004,143,0,1147,0
Precinct,13 - Gilmerton (CD 3),519,497,1,1017,0
Precinct,14 - Grassfield (CD 4),155,217,0,372,0
Precinct,15 - B M Williams (CD 3),638,382,0,1020,0
Precinct,16 - Hickory Grove (CD 4),377,924,0,1301,0
Precinct,17 - Indian Creek (CD 4),241,633,1,875,0
Precinct,18 - Indian River (CD 3),552,251,0,803,0
Precinct,19 - Jolliff (CD 4),330,580,1,911,0
Precinct,20 - E W Chittum (CD 4),625,785,1,1411,0
Precinct,20 - E W Chittum (CD 3),4,9,0,13,0
Precinct,21 - Fellowship (CD 3),569,674,1,1244,0
Precinct,22 - Norfolk Highlands (CD 3),317,379,0,696,0
Precinct,23 - Oak Grove (CD 4),671,528,0,1199,0
Precinct,24 - Oaklette (CD 3),590,365,2,957,0
Precinct,25 - St Julians (CD 3),329,250,1,580,0
Precinct,26 - Johnson Park (CD 3),348,160,1,509,0
Precinct,27 - Silverwood (CD 3),665,811,2,1478,0
Precinct,28 - Sunray I (CD 4),46,127,0,173,0
Precinct,29 - Tanglewood (CD 3),318,629,1,948,0
Precinct,30 - South Norfolk (CD 3),513,28,1,542,0
Precinct,31 - Carver School (CD 3),1056,175,3,1234,0
Precinct,32 - Providence (CD 3),1317,68,0,1385,0
Precinct,33 - Westover (CD 3),250,383,2,635,0
Precinct,34 - Hickory Middle School (CD 4),458,1244,0,1702,0
Precinct,35 - Taylor Road (CD 3),553,237,2,792,0
Precinct,36 - Great Bridge Baptist Church (CD 4),648,1146,2,1796,0
Precinct,37 - Bridgetown (CD 4),403,616,1,1020,0
Precinct,38 - Bailey Creek (CD 3),349,747,0,1096,0
Precinct,39 - Lake Drummond (CD 4),181,328,0,509,0
Precinct,40 - River Birch (CD 3),838,586,0,1424,0
Precinct,41 - John T West (CD 4),1084,783,3,1870,0
Precinct,42 - Parkways (CD 3),607,421,2,1030,0
Precinct,43 - Pleasant Crossing (CD 4),292,741,0,1033,0
Precinct,44 - Nansemond (CD 3),519,366,0,885,0
Precinct,45 - Sunray II (CD 4),335,141,0,476,0
Precinct,46 - Bells Mill II (CD 4),510,567,1,1078,0
Precinct,47 - Green Sea (CD 4),202,468,0,670,0
Precinct,48 - Jolliff Middle School (CD 4),1294,120,3,1417,0
Precinct,49 - Waterway (CD 4),1090,1153,0,2243,0
Precinct,50 - River Walk (CD 4),766,512,3,1281,0
Precinct,51 - Coopers Way (CD 4),381,1030,0,1411,0
Precinct,52 - Shipyard Road (CD 4),768,460,2,1230,0
Precinct,53 - Fairways (CD 3),472,333,1,806,0
Precinct,54 - Pughsville (CD 3),811,318,1,1130,0
Precinct,55 - Georgetown East (CD 3),764,167,0,931,0
Precinct,56 - Green Tree (CD 3),635,346,1,982,0
Precinct,57 - Cypress (CD 3),656,447,2,1105,0
Precinct,58 - Expressway (CD 4),352,128,1,481,0
Precinct,59 - Clearfield (CD 4),462,435,2,899,0
Precinct,60 - Parker Road (CD 4),501,1016,3,1520,0
Precinct,61 - Centerville (CD 4),320,725,0,1045,0
Precinct,62 - Fentress (CD 4),433,839,0,1272,0
Precinct,63 - Poplar Branch (CD 4),215,596,2,813,0
Precinct,AB - Central Absentee Precinct (CD 3),766,454,2,1222,0
Precinct,Ab - Central Absentee Precinct (CD 4),903,1143,1,2047,0
Precinct,Provisional (CD 3),12,9,0,21,0
Precinct,Provisional (CD 4),22,26,0,48,0
Locality,Chesterfield County,57559,60616,96,118271,0
Precinct,101 - Bellwood (CD 4),442,383,1,826,0
Precinct,102 - South Chester (CD 4),637,747,3,1387,0
Precinct,103 - Enon (CD 4),757,1056,2,1815,0
Precinct,104 - North Chester (CD 4),638,999,2,1639,0
Precinct,105 - Drewrys Bluff (CD 7),507,385,1,893,0
Precinct,106 - Harrowgate (CD 4),1160,961,0,2121,0
Precinct,107 - Wells (CD 4),734,719,2,1455,0
Precinct,108 - Ecoff (CD 4),781,1385,0,2166,0
Precinct,109 - Elizabeth Scott (CD 4),1137,1133,0,2270,0
Precinct,110 - Dutch Gap (CD 4),503,550,2,1055,0
Precinct,111 - Iron Bridge (CD 4),1175,1267,4,2446,0
Precinct,112 - Carver (CD 4),691,643,1,1335,0
Precinct,201 - Gates (CD 4),529,651,1,1181,0
Precinct,202 - Beulah (CD 7),1080,585,1,1666,0
Precinct,203 - Bird (CD 4),189,225,0,414,0
Precinct,204 - Jacobs (CD 7),571,472,0,1043,0
Precinct,205 - Falling Creek (CD 7),811,448,0,1259,0
Precinct,206 - Belmont (CD 7),707,139,0,846,0
Precinct,207 - Chippenham (CD 7),359,141,0,500,0
Precinct,208 - Meadowbrook (CD 7),1004,378,3,1385,0
Precinct,209 - Salem Church (CD 4),820,886,0,1706,0
Precinct,210 - Five Forks (CD 7),1329,701,3,2033,0
Precinct,211 - Nash (CD 4),809,1552,1,2362,0
Precinct,212 - St. Luke's (CD 7),395,497,0,892,0
Precinct,213 - Southside (CD 7),1804,485,0,2289,0
Precinct,214 - Hopkins (CD 7),143,21,0,164,0
