,,Mark Robert Warner,Daniel Mac Arthur Gade,Write-Ins,Total Votes Cast,Undervotes
Precinct,503 - Woodlawn E,76,332,0,408,0
Precinct,504 - Laurel,70,432,0,502,0
Precinct,Ab - Central Absentee Precinct,1953,3533,6,5492,0
Precinct,Provisional,29,37,0,66,0
Locality,Charles City County,2700,1704,1,4405,0
Precinct,101 - Precinct 1-1,221,437,0,658,0
Precinct,201 - Precinct 2-1,208,228,0,436,0
Precinct,301 - Precinct 3-1,216,249,1,466,0
Precinct,Ab - Central Absentee Precinct,2049,786,0,2835,0
Precinct,Provisional,6,4,0,10,0
Locality,Charlotte County,2522,3633,3,6158,0
Precinct,101 - County Seat,113,289,0,402,0
Precinct,201 - Red Oak Wylliesburg,188,371,0,559,0
Precinct,302 - Drakes Branch,119,319,0,438,0
Precinct,401 - Keysville,160,396,1,557,0
Precinct,501 - Cullen/Red House,142,272,1,415,0
Precinct,602 - Phenix,107,427,0,534,0
Precinct,702 - Bacon/Saxe,97,226,0,323,0
Precinct,Ab - Central Absentee Precinct,1596,1331,1,2928,0
Precinct,Provisional,0,2,0,2,0
Locality,Charlottesville City,20672,3409,24,24105,0
Precinct,101 - Key Recreation,396,211,2,609,0
Precinct,102 - Clark,655,243,0,898,0
Precinct,201 - Carver,528,138,1,667,0
Precinct,202 - Walker,522,303,0,825,0
Precinct,301 - Benjamin Tonsler,616,139,1,756,0
Precinct,302 - Johnson,560,327,8,895,0
Precinct,303 - Buford,304,119,0,423,0
Precinct,401 - Venable,399,142,2,543,0
Precinct,402 - Alumni Hall,370,181,1,552,0
Precinct,Ab - Central Absentee Precinct,16213,1586,9,17808,0
Precinct,Provisional,109,20,0,129,0
Locality,Chesapeake City,68129,58154,125,126408,0
Precinct,1 - Great Bridge (CD 4),149,423,0,572,0
Precinct,2 - Bethel (CD 4),125,916,2,1043,0
Precinct,3 - Camelot (CD 3),296,64,1,361,0
Precinct,4 - Churchland (CD 3),110,387,0,497,0
Precinct,5 - Crestwood (CD 3),407,125,2,534,0
Precinct,6 - Deep Creek (CD 4),162,363,0,525,0
Precinct,7 - Greenbrier (CD 4),130,267,0,397,0
Precinct,8 - South Norfolk Recreation (CD 3),315,381,2,698,0
Precinct,9 - Bells Mill (CD 4),176,711,0,887,0
Precinct,10 - Oscar Smith (CD 3),151,218,2,371,0
Precinct,11 - Geneva Park (CD 3),310,397,0,707,0
Precinct,12 - Georgetown (CD 3),196,73,0,269,0
Precinct,13 - Gilmerton (CD 3),284,462,0,746,0
Precinct,14 - Grassfield (CD 4),154,400,1,555,0
Precinct,15 - Greenbrier Middle School (CD 3),302,315,1,618,0
Precinct,16 - Hickory Grove (CD 4),164,763,0,927,0
Precinct,17 - Indian Creek (CD 4),132,679,2,813,0
Precinct,18 - Indian River (CD 3),273,217,0,490,0
Precinct,19 - Jolliff (CD 4),133,401,0,534,0
Precinct,20 - E W Chittum (CD 4),180,401,1,582,0
Precinct,21 - Fellowship (CD 3),216,414,1,631,0
Precinct,22 - Norfolk Highlands (CD 3),209,319,1,529,0
Precinct,23 - Oak Grove (CD 4),215,334,0,549,0
Precinct,24 - Oaklette (CD 3),326,308,0,634,0
Precinct,25 - St Julians (CD 3),269,253,0,522,0
Precinct,26 - Johnson Park (CD 3),219,151,1,371,0
Precinct,27 - Silverwood (CD 3),197,335,1,533,0
Precinct,28 - Sunray I (CD 4),60,166,0,226,0
Precinct,29 - Tanglewood (CD 3),161,393,1,555,0
Precinct,30 - South Norfolk (CD 3),248,19,0,267,0
Precinct,31 - Carver School (CD 3),459,143,1,603,0
Precinct,32 - Providence (CD 3),589,72,0,661,0
Precinct,33 - Westover (CD 3),163,366,0,529,0
Precinct,34 - Hickory Middle School (CD 4),162,689,0,851,0
Precinct,35 - Taylor Road (CD 3),261,156,0,417,0
Precinct,36 - Great Bridge Baptist Church (CD 4),189,548,0,737,0
Precinct,37 - Bridgetown (CD 4),135,406,0,541,0
Precinct,38 - Bailey Creek (CD 3),112,391,0,503,0
Precinct,39 - Lake Drummond (CD 4),168,390,0,558,0
Precinct,41 - John T West (CD 4),340,581,3,924,0
Precinct,42 - Parkways (CD 3),261,231,1,493,0
Precinct,43 - Pleasant Crossing (CD 4),124,474,0,598,0
Precinct,44 - Nansemond (CD 3),215,241,0,456,0
Precinct,45 - Sunray II (CD 4),94,141,0,235,0
Precinct,46 - Bells Mill II (CD 4),161,423,1,585,0
Precinct,48 - Jolliff Middle School (CD 4),470,108,2,580,0
Precinct,49 - Waterway (CD 4),138,384,1,523,0
Precinct,50 - River Walk (CD 4),278,347,1,626,0
Precinct,51 - Coopers Way (CD 4),204,757,2,963,0
Precinct,52 - Shipyard Road (CD 4),143,237,0,380,0
Precinct,53 - Fairways (CD 3),350,445,2,797,0
Precinct,54 - Pughsville (CD 3),320,161,1,482,0
Precinct,55 - Georgetown East (CD 3),110,70,0,180,0
Precinct,56 - Green Tree (CD 3),190,243,2,435,0
Precinct,57 - Cypress (CD 3),265,240,2,507,0
Precinct,58 - Expressway (CD 4),139,78,0,217,0
Precinct,59 - Clearfield (CD 4),190,382,1,573,0
Precinct,60 - Parker Road (CD 4),100,399,1,500,0
Precinct,61 - Centerville (CD 4),164,733,0,897,0
Precinct,62 - Fentress (CD 4),191,695,1,887,0
Precinct,63 - Poplar Branch (CD 4),65,358,1,424,0
Precinct,64 - Deep Creek Ii (CD 4),188,310,0,498,0
Precinct,65 - Waterway Ii (CD 4),165,322,0,487,0
Precinct,AB - Central Absentee Precinct (CD 3),27875,11892,33,39800,0
Precinct,Ab - Central Absentee Precinct (CD 4),26543,23854,47,50444,0
Precinct,Provisional (CD 3),184,84,2,270,0
Precinct,Provisional (CD 4),155,148,1,304,0
Locality,Chesterfield County,107568,92658,195,200421,0
Precinct,101 - Bellwood (CD 4),343,426,2,771,0
Precinct,102 - South Chester (CD 4),462,586,1,1049,0
Precinct,103 - Enon (CD 4),454,958,0,1412,0
Precinct,104 - North Chester (CD 4),322,757,2,1081,0
Precinct,105 - Drewrys Bluff (CD 7),423,341,0,764,0
Precinct,106 - Harrowgate (CD 4),531,694,3,1228,0
Precinct,107 - Wells (CD 4),430,521,3,954,0
Precinct,108 - Ecoff (CD 4),303,578,0,881,0
Precinct,109 - Elizabeth Scott (CD 4),517,793,0,1310,0
Precinct,110 - Dutch Gap (CD 4),232,486,2,720,0
Precinct,111 - Iron Bridge (CD 4),131,309,0,440,0
Precinct,112 - Carver (CD 4),278,379,2,659,0
Precinct,113 - Iron Bridge North (CD 4),236,287,2,525,0
Precinct,201 - Gates (CD 4),250,407,1,658,0
Precinct,202 - Beulah (CD 7),424,329,1,754,0
Precinct,203 - Bird (CD 4),121,198,0,319,0
Precinct,204 - Jacobs (CD 7),198,337,2,537,0
Precinct,205 - Falling Creek (CD 7),357,186,1,544,0
Precinct,206 - Belmont (CD 7),398,95,1,494,0
Precinct,207 - Chippenham (CD 7),199,101,1,301,0
Precinct,208 - Meadowbrook (CD 7),339,189,0,528,0
Precinct,209 - Salem Church (CD 4),434,611,3,1048,0
Precinct,210 - Five Forks (CD 7),460,388,2,850,0
Precinct,211 - Nash (CD 4),178,623,0,801,0
Precinct,212 - St. Luke's (CD 7),172,280,1,453,0
Precinct,213 - Southside (CD 7),244,110,2,356,0
Precinct,214 - Hopkins (CD 7),110,16,0,126,0
Precinct,215 - North Bird (CD 7),186,138,0,324,0
Precinct,216 - Ridgedale (CD 7),357,146,0,503,0
